Galaxy	αJ2000.0	δJ2000.0	Distance‡
NGC 5248	13h37m32s.024	+08∘53′06′′.64	13
NGC 5364	13h56m12s.00	+05∘00′52′′.1	18.2
NGC 5480	14h06m21s.579	+50∘43′30′′.38	30.6
NGC 5678	14h32m05s.610	+57∘55′17′′.20	35.7
NGC 5665	14h32m25s.742	+08∘04′43′′.11	18.2
NGC 5676	14h32m46s.846	+49∘27′28′′.45	34.7
NGC 5713	14h40m11s.505	−00∘17′20′′.31	19.5
NGC 5792	14h58m22s.71	−01∘05′27′′.9	26.4
NGC 5907	15h15m53s.770	+56∘19′43′′.58	17.1
NGC 6015	15h51m25s.23	+62∘18′36′′.1	19
NGC 6503	17h49m26s.432	+70∘08′39′′.72	6.25
NGC 6574	18h11m51s.23	+14∘58′54′′.4	41.9
NGC 6643	18h19m46s.41	+74∘34′06′′.1	21.3
NGC 6764	19h08m16s.370	+50∘55′59′′.58	23.7
NGC 6951	20h37m14s.09	+66∘06′20′′.3	23.3
NGC 7331	22h37m04s.014	+34∘24′55′′.87	13.9
NGC 7448	23h00m03s.59	+15∘58′49′′.2	28.2
NGC 7479	23h04m56s.65	+12∘19′22′′.4	36.8
NGC 7541	23h14m43s.890	+04∘32′03′′.70	32.1
NGC 7625	23h20m30s.13	+17∘13′32′′.0	23
NGC 7721	23h38m48s.65	−06∘31′04′′.3	28
NGC 7798	23h59m25s.50	+20∘44′59′′.5	32.6
NGC 0000	01h59m16s.61	+18∘59′30′′	
NGC 770	01h59m13s.64	+18∘57′16′′.8	32.2
NGC 772	01h59m19s.58	+19∘00′27′′.1	32.2
NGC 0000	06h16m25s.005	−21∘22′27′′.35	32.2
NGC 2207	06h16m22s.030	−21∘22′21′′.60	38.1
IC 2163	06h16m27s.980	−21∘22′33′′.10	38.1
Arp 283	09h17m26s.9	+41∘59′48′′	38.1
NGC 2798	09h17m22s.793	+41∘59′59′′.02	29.6
NGC 2799	09h17m31s.03	+41∘59′38′′.7	29.6
Arp 245	09h45m45s	−14∘20′48′′	29.6
NGC 2992	09h45m42s.050	−14∘19′34′′.98	29
NGC 2993	09h45m48s.33	−14∘22′05′′.9	29
Arp 094	10h23m28s.8	+19∘52′54′′	29
NGC 3226	10h23m27s.0083	+19∘53′54′′.680	19.6
NGC 3227	10h23m30s.5790	+19∘51′54′′.180	19.6
NGC 4298/NGC 4302			19.6
NGC 0000	12h21m37s.62	+14∘36′08′′.05	16.5
NGC 4298	12h21m32s.760	+14∘36′22′′.20	16.5
NGC 4302	12h21m42s.480	+14∘35′53′′.90	16.5
NGC 4383/UGC 7504			16.5
NGC 0000	12h25m23s.56	+16∘26′59′′.23	16.5
UGC 7504	12h25m21s.60	+16∘25′46′′.0	16.5
NGC 4383	12h25m25s.523	+16∘28′12′′.46	4.6
Arp 269	12h30m33s.7	+41∘40′21′′	4.6
NGC 4485	12h30m31s.13	+41∘42′04′′.2	4.6
NGC 4490	12h30m36s.239	+41∘38′38′′.03	16.5
VV 219	12h36m33s.5	+11∘14′54′′	16.5
NGC 4567	12h36m32s.710	+11∘15′28′′.80	16.5
NGC 4568	12h36m34s.260	+11∘14′20′′.00	16.5
Arp 116	12h43m36s	+11∘34′00′′	16.5
NGC 4647	12h43m32s.31	+11∘34′54′′.7	16.5
NGC 4649	12h43m39s.975	+11∘33′09′′.74	40
Arp 271	14h03m25s.5	−06∘02′59′′	40
NGC 5426	14h03m24s.85	−06∘04′08′′.8	40
NGC 5427	14h03m26s.05	−06∘01′50′′.9	42.5
Arp 090	15h26m06s.690	+41∘40′21′′.00	42.5
NGC 5929	15h26m06s.161	+41∘40′14′′.40	42.5
NGC 5930	15h26m07s.941	+41∘40′33′′.82	38.6
Arp 284	23h36m18s.1	+02∘09′21′′	38.6
NGC 7714	23h36m14s.098	+02∘09′18′′.58	38.6
NGC 7715	23h36m22s.142	+02∘09′23′′.45	38.6
