A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	NGC3985   	179.17556	+48.33403	 9.313	 12.850
 	NGC3992   	179.39983	+53.37483	11.104	 24.878
 	NGC3998   	179.48394	+55.45350	10.864	 21.925
 	NGC4010   	179.65800	+47.26141	 9.914	 19.006
 	NGC4013   	179.63059	+43.94746	10.630	 18.600
 	NGC4020   	179.73600	+30.41247	 8.836	  8.000
 	NGC4027   	179.87611	-19.26530	10.594	 25.600
 	NGC4030   	180.09839	-01.10004	10.963	 24.463
 	NGC4032   	180.13688	+20.07396	 9.587	
 	NGC4034   	180.37385	+69.32402	 9.790	
 	NGC4035   	180.12191	-15.94821	      	
 	NGC4037   	180.34864	+13.40108	 9.691	 17.200
 	NGC4038   	180.47088	-18.86756	10.868	 20.878
 	NGC4039   	180.47299	-18.88611	10.418	 20.878
 	NGC4041   	180.55102	+62.13729	10.503	 22.700
 	NGC4045   	180.67600	+01.97674	10.611	 30.944
 	NGC4049   	180.72690	+18.75216	 8.826	
 	NGC4050   	180.72478	-16.37360	10.740	 33.722
 	NGC4051   	180.79007	+44.53131	10.359	 14.575
 	NGC3622   	170.05168	+67.24190	 9.742	 27.367
 	NGC5678   	218.02315	+57.92143	10.755	 29.467
 	NGC5689   	218.87383	+48.74157	10.840	 35.600
 	NGC5690   	219.42096	+02.29110	10.191	 21.286
 	NGC5691   	219.47237	-00.39886	10.173	 30.200
 	NGC5693   	219.04681	+48.58498	 9.830	
 	NGC5701   	219.79619	+05.36347	10.695	 26.100
 	NGC5707   	219.37830	+51.56183	10.440	
 	NGC5708   	219.56762	+40.45661	10.106	
 	NGC5713   	220.04770	-00.28888	10.567	 23.800
 	NGC5714   	219.54796	+46.63845	10.398	 41.191
 	NGC5719   	220.23486	-00.31827	10.671	 25.986
 	NGC5728   	220.59953	-17.25304	10.849	 30.567
 	NGC5729   	220.52856	-09.00935	10.201	 25.825
 	NGC5730   	219.96735	+42.74244	 9.947	
 	NGC5731   	220.03835	+42.77958	 9.701	
 	NGC5740   	221.10184	+01.67981	10.456	 28.988
 	NGC5744   	221.65884	-18.51234	 9.753	
 	NGC5746   	221.23320	+01.95505	11.256	 29.037
 	NGC5750   	221.54638	-00.22292	10.741	 33.633
 	NGC5756   	221.89065	-14.85354	10.348	 28.182
 	NGC5757   	221.94333	-19.07856	10.742	 39.500
 	NGC5762   	222.17736	+12.45722	10.080	 43.800
 	NGC5768   	223.03319	-02.52969	10.098	 28.825
A	NGC5770   	223.31257	+03.95973	10.102	 22.400
 	NGC5774   	223.42765	+03.58233	10.026	 30.625
 	NGC4062   	181.01589	+31.89571	10.285	 16.340
 	NGC4981   	197.20315	-06.77752	10.443	 24.722
 	NGC4984   	197.23858	-15.51629	10.691	 21.300
 	NGC4995   	197.41934	-07.83341	10.754	 28.911
 	NGC5002   	197.65898	+36.63428	 8.901	
 	NGC5005   	197.73442	+37.05903	11.098	 19.867
 	NGC5012   	197.90438	+22.91558	10.801	 39.278
 	NGC5014   	197.88009	+36.28202	 9.629	 19.260
 	NGC5016   	198.02783	+24.09503	10.479	 42.483
 	NGC5018   	198.25439	-19.51828	11.234	 37.654
 	NGC5022   	198.37837	-19.54669	10.610	 41.733
 	NGC5023   	198.04915	+44.03816	 9.168	 10.142
 	NGC5033   	198.36451	+36.59384	10.946	 19.642
 	NGC5042   	198.87923	-23.98389	 9.909	 15.633
 	NGC5054   	199.24365	-16.63456	10.653	 19.850
 	NGC5055   	198.95528	+42.02935	10.778	  8.333
 	NGC5068   	199.72811	-21.03874	 9.739	  6.075
 	NGC5073   	199.83614	-14.84460	10.570	 37.387
 	NGC5078   	199.95852	-27.41023	11.217	
 	NGC5079   	199.90853	-12.69896	10.140	 31.600
 	NGC5084   	200.07012	-21.82725	10.935	 21.700
 	NGC5085   	200.07394	-24.43968	10.807	 28.900
 	NGC5088   	200.08446	-12.57160	 9.870	 24.957
 	NGC5101   	200.44236	-27.43041	11.111	 27.400
 	NGC5103   	200.12537	+43.08398	 9.972	
 	NGC5105   	200.45461	-13.20672	 9.979	 35.467
 	NGC5107   	200.35445	+38.53697	 9.185	 19.343
 	NGC5109   	200.21985	+57.64306	 9.717	
 	NGC5112   	200.48520	+38.73459	10.115	 26.456
 	NGC5116   	200.73178	+26.98061	10.474	 45.409
 	ESO357-007	047.59798	-33.15356	 8.504	 14.700
 	ESO357-012	049.22249	-35.54139	 9.291	 22.591
 	ESO357-025	050.90508	-35.77853	 8.663	 17.275
 	ESO358-005	051.81901	-33.48580	 8.802	
 	ESO358-015	053.27847	-34.80705	 8.496	 16.100
 	ESO358-020	053.73902	-32.63954	 9.121	
 	ESO358-025	053.88729	-32.46549	 9.370	 18.614
 	ESO358-051	055.38599	-34.88799	 8.999	 15.700
 	ESO358-054	055.75917	-36.27275	 8.946	 16.900
 	ESO358-060	056.30115	-35.57055	 7.161	
 	ESO358-063	056.57909	-34.94358	10.165	 19.673
 	ESO359-003	058.00376	-33.46800	 8.758	 15.817
 	ESO359-022	062.18994	-35.38936	 7.804	
 	ESO411-013	011.77632	-31.58140	 8.329	
 	ESO411-026	013.19004	-31.71742	 8.304	
 	ESO418-008	052.87773	-30.21334	 9.214	 20.733
 	ESO418-009	052.98220	-31.33822	 9.134	 18.000
 	ESO419-013	060.17332	-30.83108	 8.774	
 	ESO420-006	062.50650	-31.25862	 8.259	
 	ESO420-009	062.75271	-31.40747	 9.201	
 	ESO421-019	072.30208	-29.20713	 9.388	 17.000
 	ESO422-005	073.02320	-28.59197	 8.405	 26.286
 	ESO422-033	076.70456	-27.65736	 8.572	
 	ESO422-041	077.69579	-31.59705	 8.891	 10.800
 	ESO423-002	078.81797	-30.52669	 9.659	 21.410
 	ESO438-017	169.32392	-27.82243	 9.067	
 	ESO440-004	176.42428	-28.36626	 9.648	 49.000
 	ESO440-011	177.18972	-28.29350	10.031	 27.600
 	ESO440-027	178.35019	-28.55306	10.001	 21.600
 	ESO572-018	178.96122	-18.19632	 9.560	 25.656
 	ESO572-022	179.09371	-19.55214	 9.179	 29.429
 	ESO572-024	179.24830	-19.98662	 9.255	
 	ESO572-030	179.60634	-22.44012	 9.159	 21.633
 	ESO572-034	179.74200	-19.02988	 8.629	
 	ESO572-049	180.85157	-19.52136	 9.028	 25.086
 	ESO573-003	183.23018	-20.42011	      	 24.000
 	ESO575-061	197.06413	-21.00136	10.175	 29.355
 	ESO576-001	197.59899	-21.68419	10.636	 85.600
 	ESO576-003	197.64872	-21.74813	 9.742	 34.500
 	ESO576-005	197.82486	-19.82826	 9.787	
 	ESO576-008	198.07872	-19.44596	 9.908	
 	ESO576-011	198.27130	-19.97696	10.155	 36.911
 	ESO576-017	198.80401	-17.96663	 9.573	
 	ESO576-026	199.64510	-21.29945	 9.255	 30.260
 	ESO576-032	199.96674	-22.27893	10.139	 29.100
 	ESO576-040	200.18251	-22.05111	 9.266	 22.633
 	ESO576-050	201.17417	-19.69583	 9.789	 24.688
 	ESO576-059	201.64548	-22.23815	 9.151	 22.700
 	ESO577-038	207.10665	-18.87146	 8.597	 37.050
 	ESO580-022	221.52182	-18.02201	 9.744	
 	ESO580-029	221.89028	-19.76409	10.293	 34.250
 	ESO580-030	221.89773	-18.07046	 9.952	
 	ESO580-034	221.97675	-19.13045	 9.121	
 	ESO580-041	222.65207	-18.15110	 9.764	 33.425
 	UGC08516  	202.96910	+20.00123	 9.481	 23.250
 	UGC08575  	203.93998	+08.96931	 8.733	 22.900
 	UGC08588  	203.92829	+45.92962	 9.153	 26.400
 	UGC08597  	204.06533	+46.20008	 9.525	 38.400
 	UGC08614  	204.35861	+07.64674	10.152	 21.600
 	UGC08629  	204.62768	+08.44249	 9.288	
 	UGC08630  	204.60360	+33.11771	 9.891	
 	PGC027747 	145.59663	-06.25194	 9.355	 30.433
 	ESO506-018	188.42371	-23.68061	 9.005	 55.867
 	ESO506-029	189.81477	-26.91078	 9.950	
A	ESO506-033	190.05756	-25.32681	 9.844	
 	ESO507-065	195.27060	-26.09101	10.038	
 	ESO508-007	196.78238	-24.11033	 8.936	 32.660
 	ESO508-011	196.93766	-22.85780	 9.783	 33.009
 	ESO508-015	197.32860	-24.38456	 9.539	 40.100
 	ESO508-019	197.46624	-24.23903	 9.672	 39.373
 	ESO508-024	197.69156	-23.86577	10.194	 40.000
 	ESO508-030	198.72855	-23.14375	 8.694	 23.500
 	ESO508-034	199.23929	-25.33718	 9.347	 30.600
 	ESO508-051	200.12372	-26.08554	 9.149	 27.807
 	ESO509-026	202.10280	-27.56976	 8.489	 27.100
 	ESO509-074	203.92232	-24.07372	10.323	 34.989
 	ESO510-026	209.39918	-25.79080	10.010	
 	ESO510-058	211.15575	-24.83314	 9.952	
 	ESO510-059	211.19264	-24.82708	 9.845	 33.600
 	ESO532-014	330.73877	-22.47275	 8.474	 21.400
 	ESO532-022	332.29732	-27.16584	 9.281	 30.380
 	ESO532-032	333.22162	-25.64297	 8.584	 33.850
 	ESO533-004	333.51255	-26.93767	10.338	 40.977
 	ESO533-028	336.66397	-24.87167	 9.883	
 	ESO536-003	350.56727	-23.70072	10.114	
 	ESO539-007	004.70154	-19.00797	 8.876	 25.600
 	ESO540-016	010.56137	-18.16164	 8.976	 24.090
 	ESO540-031	012.45750	-21.01273	 6.844	  3.442
 	ESO541-004	014.74156	-18.74271	10.185	 32.527
 	ESO541-005	014.82666	-20.57898	 8.746	
 	ESO544-027	033.22760	-19.31666	 9.836	 40.283
 	ESO480-020	045.61798	-22.80147	 8.631	
 	ESO480-025	045.95989	-25.27208	 8.617	
 	ESO481-014	048.41813	-25.18888	 8.967	 20.500
 	ESO481-018	049.63758	-25.83650	 9.588	 22.577
 	ESO481-030	052.40908	-23.35058	 8.461	 22.978
 	ESO482-005	053.25953	-24.13285	 8.929	 30.100
 	ESO482-011	054.07242	-25.60465	 8.990	
 	ESO482-013	054.22440	-24.91278	 8.807	
 	ESO482-035	055.31181	-23.83704	 9.811	 27.340
 	ESO482-046	057.42602	-26.99360	 9.578	 23.136
 	ESO483-008	061.51024	-22.63134	 7.993	
 	ESO483-013	063.17132	-23.15894	 8.689	
 	ESO485-021	073.22107	-25.24647	 9.148	 16.000
 	ESO486-003	074.89099	-22.69708	 8.546	
 	ESO486-021	075.83305	-25.42297	 8.272	
 	ESO501-079	160.35825	-23.38418	      	 18.950
 	ESO501-080	160.65918	-23.93589	 8.905	 13.967
 	ESO502-016	166.30481	-26.62483	 8.889	
 	ESO502-020	167.34172	-22.87547	 9.129	
 	ESO502-023	168.05850	-24.23299	 8.242	
 	ESO503-022	173.37255	-26.94621	 9.113	 23.220
 	ESO504-010	175.76221	-23.43348	 8.501	
 	ESO504-024	178.40759	-26.99598	 8.711	
 	ESO504-028	178.72736	-27.24970	 9.513	
 	ESO505-002	180.13275	-24.72393	 9.094	
 	ESO505-003	180.27990	-24.56847	 9.520	 24.450
 	ESO505-008	180.89580	-25.38031	 9.150	 28.317
 	ESO505-009	180.96131	-27.60194	 8.831	
 	ESO505-013	181.53051	-22.84970	 9.611	 25.700
 	ESO505-023	182.40092	-23.41143	 8.463	
 	IC4237    	201.13651	-21.13689	10.533	 40.073
 	IC4247    	201.68520	-30.36250	 7.705	  5.040
 	IC4263    	202.13890	+46.92718	 9.520	
 	IC4316    	205.07654	-28.89308	 7.840	  4.430
 	IC4351    	209.47591	-29.31566	10.867	 31.311
 	IC4407    	215.90329	-05.98187	 9.419	
 	IC4468    	219.61144	-22.36754	10.215	 33.960
 	IC4536    	228.32230	-18.13710	 9.984	 33.400
 	IC4582    	236.41428	+28.08861	10.219	 46.650
 	IC4660    	260.43866	+75.84868	 9.181	
 	IC4901    	298.59812	-58.71359	10.300	 23.680
 	IC4951    	302.38215	-61.85057	 8.373	  9.466
 	IC4986    	304.29770	-55.03549	 9.415	 30.917
 	IC5007    	310.89314	-29.70382	10.221	 34.043
 	IC5026    	312.11708	-78.06923	 9.622	 36.510
 	IC5039    	310.80968	-29.85336	10.186	 32.473
 	IC5052    	313.02465	-69.20345	 9.286	  8.095
 	IC5069    	315.04332	-71.81063	 9.671	
 	NGC5775   	223.49021	+03.54468	10.722	 21.440
 	NGC5777   	222.82404	+58.97785	10.838	 50.725
 	NGC5781   	224.17207	-17.24336	10.096	 31.875
 	NGC5783   	223.36786	+52.07620	10.126	 37.650
 	IC1898    	047.58319	-22.40462	 9.766	 19.891
 	IC1913    	049.89398	-32.46523	 9.072	 21.386
 	IC1914    	049.85510	-49.59967	 9.347	 18.137
 	IC1933    	051.41621	-52.78552	 9.588	 20.091
 	IC1952    	053.36105	-23.71280	 9.812	
 	IC1953    	053.42431	-21.47868	10.149	 24.640
 	IC1954    	052.88003	-51.90485	 9.959	 15.287
 	IC1959    	053.30210	-50.41450	 8.547	  8.200
 	IC1962    	053.90577	-21.29266	 8.803	 18.820
 	IC1970    	054.13096	-43.95668	10.080	 19.964
 	IC1986    	055.14687	-45.35605	 8.731	 17.800
 	IC1993    	056.77017	-33.70998	 9.658	
 	IC2000    	057.28188	-48.85821	 9.852	 20.080
A	IC2006    	058.61856	-35.96710	10.271	 19.278
 	IC2007    	058.84505	-28.15772	 9.606	 22.500
 	IC2032    	061.76302	-55.32213	 8.294	 13.400
A	IC2035    	062.25765	-45.51759	 9.975	 16.500
 	IC2040    	063.24887	-32.55340	 9.242	
 	IC2051    	058.00331	-83.83074	10.578	 23.890
 	IC2056    	064.10196	-60.20680	10.093	 20.500
 	IC2058    	064.47612	-55.93302	 9.497	 21.524
 	IC2085    	067.85097	-54.41689	 9.277	 15.383
 	IC2135    	083.30535	-36.39927	10.149	 25.210
 	IC2233    	123.49515	+45.74313	 9.015	 13.275
 	IC2361    	126.43540	+27.87448	 9.667	
 	IC2389    	131.99188	+73.53889	 9.628	 32.067
 	IC2461    	139.99153	+37.19107	10.535	 54.180
 	IC2574    	157.09833	+68.41214	 8.456	  3.827
 	IC2604    	162.35445	+32.77266	 9.197	
 	PGC045877 	198.14758	-17.54243	10.648	 35.400
 	PGC045958 	198.39315	-15.43181	      	 36.400
 	PGC046261 	199.27560	-16.25218	10.154	 46.680
 	PGC046382 	199.67084	-08.44598	 9.199	 23.300
 	PGC047721 	203.30800	-16.12138	10.336	
 	PGC047846 	203.66602	-12.32986	 9.646	
 	PGC048087 	204.27032	-11.82985	 9.786	 36.500
 	PGC048179 	204.54320	-09.80233	 9.846	 22.700
 	PGC049521 	208.93955	-06.00199	 8.936	
 	PGC050229 	211.29684	-03.36981	 9.504	
 	PGC051291 	215.34270	-03.75880	 9.321	
 	PGC051523 	216.43910	-05.40181	 9.251	
 	PGC052336 	219.68970	+51.31825	      	
 	PGC052460 	220.27676	-08.87512	 9.530	
 	PGC052809 	221.85073	-17.44557	10.038	 24.844
 	PGC052853 	221.98399	-14.28271	 9.885	 34.750
 	PGC052935 	222.38730	-10.16417	 9.293	
 	PGC052940 	222.37767	-10.17593	 9.602	 28.800
 	PGC053093 	223.04339	-10.74029	10.240	 38.575
 	PGC053134 	223.14481	-03.56145	 9.642	 30.700
 	PGC053415 	224.16101	-16.48784	 9.935	
 	PGC053568 	224.92036	-06.99038	 8.967	
 	PGC053634 	225.25042	-15.12170	 9.307	 34.250
 	PGC053724 	225.75089	-13.28266	 9.999	 24.150
 	PGC053764 	226.01199	-10.73791	 9.237	
 	PGC053779 	226.05661	-07.22278	 9.651	
 	PGC053796 	226.11329	-14.43983	 9.426	 38.500
 	PGC054817 	230.38838	-07.44796	 9.684	 28.012
 	PGC054944 	230.83394	-04.15163	 9.974	 29.367
 	UGC09751  	227.74351	+01.43783	 8.517	
 	NGC5950   	232.87815	+40.43010	 9.930	 38.375
 	NGC5951   	233.42929	+15.00724	 9.926	 27.836
 	NGC5953   	233.63488	+15.19383	10.348	 27.060
 	NGC5954   	233.64594	+15.20013	10.176	 32.100
 	NGC5956   	233.74387	+11.75028	10.089	
 	NGC5957   	233.84675	+12.04762	10.260	
 	NGC5958   	233.70474	+28.65525	10.060	
 	NGC5962   	234.13201	+16.60778	10.820	 34.050
 	NGC5963   	233.36606	+56.55961	10.096	 26.775
 	NGC5964   	234.40074	+05.97425	10.262	 26.567
 	NGC5970   	234.62481	+12.18659	10.585	 30.811
 	NGC5981   	234.47303	+59.39193	10.348	 29.200
 	NGC5984   	235.72157	+14.23145	 9.703	 19.969
 	NGC5985   	234.90445	+59.33208	11.114	 42.257
 	NGC6010   	238.57986	+00.54306	10.215	 21.600
 	NGC6012   	238.55797	+14.60120	10.036	 21.850
 	NGC6014   	238.98924	+05.93194	10.327	
 	NGC6015   	237.85512	+62.31005	10.168	 16.756
 	NGC6063   	241.80418	+07.97901	10.232	 46.171
 	NGC6070   	242.49455	+00.70931	10.725	 31.344
 	NGC6106   	244.69661	+07.41089	10.050	 24.618
 	NGC6118   	245.45257	-02.28343	10.538	 23.372
 	NGC6140   	245.24185	+65.39065	 9.854	 18.600
 	NGC6155   	246.53471	+48.36681	10.283	
 	UGC09071  	212.51280	+54.21838	 9.469	 33.333
 	UGC09126  	213.91935	+16.54890	 9.369	 36.000
 	UGC09128  	213.98580	+23.05480	 6.964	  3.616
 	UGC09169  	214.93545	+09.36220	 8.865	 12.743
 	UGC09206  	215.61420	+15.08602	 9.525	
 	PGC041743 	188.47962	-10.67977	 8.656	
 	NGC0899   	035.47107	-20.82380	 9.505	 18.500
 	NGC0907   	035.76102	-20.71175	 9.782	 20.550
 	NGC0908   	035.76885	-21.23382	10.663	 17.615
 	NGC0918   	036.46166	+18.49632	10.109	 18.131
 	NGC0936   	036.90597	-01.15595	10.926	 20.683
 	NGC0941   	037.11608	-01.15148	 9.903	 27.340
 	NGC0955   	037.63804	-01.10842	10.311	 23.075
 	NGC0986   	038.39309	-39.04500	10.441	 17.150
 	NGC0986A  	038.17476	-39.29515	 8.621	
 	NGC0988   	038.86596	-09.35637	 9.976	 17.150
 	NGC0991   	038.88612	-07.15433	 9.680	 18.800
 	NGC1015   	039.54810	-01.31877	10.392	 33.100
 	NGC1022   	039.63627	-06.67742	10.186	 18.500
 	NGC1032   	039.84848	+01.09381	10.920	
 	NGC1035   	039.87144	-08.13296	10.009	 18.460
 	NGC1036   	040.12070	+19.29701	 8.994	 11.200
 	NGC1042   	040.09982	-08.43352	 9.603	  9.431
 	NGC1047   	040.13673	-08.14768	 9.275	
 	NGC1051   	040.26039	-06.93583	 9.269	 15.900
 	NGC1052   	040.27003	-08.25580	10.705	 19.482
 	NGC1055   	040.43815	+00.44387	10.739	 16.630
 	NGC1068   	040.66962	-00.01331	10.861	 13.500
 	NGC1073   	040.91883	+01.37610	 9.972	 15.200
 	NGC1076   	040.87176	-14.75421	10.017	
 	NGC1079   	040.93471	-29.00327	10.578	 26.050
 	NGC1084   	041.49954	-07.57847	10.619	 21.225
 	NGC1087   	041.60510	-00.49884	10.228	 17.512
 	NGC1090   	041.64131	-00.24714	10.481	 32.324
 	NGC1097   	041.57894	-30.27472	11.240	 20.038
 	IC2627    	167.47243	-23.72592	10.062	 18.480
 	IC2763    	170.57685	+13.06513	 8.907	
A	IC2764    	171.77102	-28.98017	10.087	
 	IC2828    	171.79563	+08.73107	 8.503	
 	IC2963    	177.35236	-05.11842	 9.396	
 	IC2969    	178.13040	-03.87235	 9.606	 27.500
 	IC2995    	181.44573	-27.94027	 9.826	 21.000
 	IC2996    	181.45247	-29.97231	 9.661	 30.587
 	IC3005    	181.80922	-30.02467	10.013	 26.629
 	IC3021    	182.47747	+13.05008	 9.182	
 	IC3023    	182.50738	+14.36680	 7.794	
 	IC3033    	182.79156	+13.58759	 8.587	 18.300
 	IC3044    	183.20217	+13.97630	 9.005	 17.700
 	IC3059    	183.72953	+13.46079	 7.722	
 	IC3061    	183.76867	+14.02914	10.108	 43.600
 	IC3099    	184.28839	+12.45396	 9.541	 36.417
 	IC3102    	184.35763	+06.69009	10.394	 28.850
 	IC3105    	184.39071	+12.38792	 8.265	 14.100
 	IC3115    	184.49950	+06.65428	 9.290	 19.333
 	IC3155    	184.93883	+06.00588	 9.858	
 	IC3215    	185.54425	+26.05187	 8.513	
 	IC3229    	185.71981	+06.67971	 8.873	
 	IC3247    	185.80815	+28.89354	 9.147	 25.071
 	IC3258    	185.93534	+12.47838	 8.910	 14.800
 	IC3259    	185.95201	+07.18687	 9.428	 21.250
 	IC3267    	186.02300	+07.04130	 9.384	
 	IC3268    	186.03186	+06.60700	 9.396	 21.800
 	IC3298    	186.26573	+17.01570	 9.315	
 	IC3311    	186.38782	+12.26067	 9.181	 21.167
 	IC3322    	186.47566	+07.55511	 9.594	 22.729
 	NGC3389   	162.11624	+12.53325	10.022	 21.286
 	NGC3395   	162.45891	+32.98295	10.066	 25.760
 	NGC3396   	162.47999	+32.99068	 9.939	 24.900
 	NGC3403   	163.47866	+73.69034	10.140	 26.800
 	NGC3413   	162.83640	+32.76614	 9.301	 16.200
 	NGC3414   	162.81757	+27.97510	10.759	 29.025
 	NGC3423   	162.80967	+05.84010	 9.706	 10.900
 	NGC3424   	162.94289	+32.90077	10.434	 29.225
 	NGC3430   	163.04747	+32.95043	10.519	 29.167
 	NGC3432   	163.12894	+36.61843	 9.681	 12.933
 	NGC3433   	163.01604	+10.14836	10.537	 39.500
 	NGC3437   	163.14905	+22.93417	10.377	 24.785
 	NGC3440   	163.45628	+57.11866	 9.755	 42.800
 	NGC3443   	163.25023	+17.57388	 9.232	 22.283
 	NGC3445   	163.64811	+56.99082	 9.653	 22.500
 	NGC3447   	163.34977	+16.77335	 9.433	 20.100
 	NGC3447A  	163.37423	+16.78536	 8.224	
 	NGC3448   	163.66270	+54.30552	10.107	 24.500
 	NGC3454   	163.62275	+17.34374	 9.832	 26.580
 	NGC3455   	163.62952	+17.28472	 9.890	 29.014
 	NGC3468   	164.37995	+40.94616	11.280	
 	ESO581-025	228.37885	-20.67489	10.401	 29.933
 	ESO582-004	230.19153	-18.34901	 9.412	 30.817
 	ESO601-007	330.59029	-21.04117	 8.762	 19.900
 	ESO601-025	332.55210	-18.86445	 9.242	 25.750
 	NGC3368   	161.69035	+11.81997	10.725	 10.856
 	NGC3370   	161.76698	+17.27373	10.280	 27.412
 	NGC3377A  	161.84295	+14.06938	 8.281	  7.215
 	NGC3380   	162.05077	+28.60190	 9.961	
 	NGC3381   	162.10365	+34.71141	 9.892	
 	NGC3504   	165.79679	+27.97265	10.404	 20.050
 	NGC3507   	165.85572	+18.13550	10.127	 15.800
 	NGC3510   	165.93090	+28.88713	 9.081	 14.080
 	NGC3511   	165.84921	-23.08670	10.194	 14.277
 	NGC3512   	166.01229	+28.03683	10.089	 25.000
 	NGC3513   	165.94222	-23.24562	 9.710	 13.153
 	NGC3521   	166.45241	-00.03594	11.030	 12.078
 	NGC3522   	166.66862	+20.08558	 9.849	 25.500
 	NGC3526   	166.73651	+07.17414	 9.896	 34.914
 	NGC3547   	167.48306	+10.72093	 9.819	 27.067
 	NGC3549   	167.73703	+53.38777	10.675	 40.638
 	NGC3556   	167.87910	+55.67401	10.616	 14.320
 	NGC3583   	168.54554	+48.31862	10.718	 30.800
 	NGC3589   	168.80678	+60.70102	 9.366	
 	NGC3592   	168.61374	+17.25999	 9.672	 26.557
 	NGC3593   	168.65408	+12.81815	 9.600	  5.500
 	NGC3596   	168.77582	+14.78706	10.032	 15.450
A	NGC3599   	168.86233	+18.11037	10.036	 19.657
 	NGC3600   	168.96683	+41.59180	 9.428	 17.000
 	NGC3608   	169.24566	+18.14869	10.792	 24.270
 	NGC3611   	169.37572	+04.55558	10.462	 33.300
 	NGC3614   	169.58894	+45.74820	10.457	 39.567
 	NGC3619   	169.84004	+57.75784	10.597	 27.900
 	NGC3384   	162.07045	+12.62957	10.493	 11.586
 	NGC1553   	064.04363	-55.78002	11.137	 15.082
 	NGC1556   	064.43669	-50.16444	 9.299	 18.690
 	NGC1559   	064.39890	-62.78358	10.390	 15.681
 	NGC1566   	065.00156	-54.93800	10.584	 12.234
 	NGC1592   	067.42016	-27.40869	 8.335	
 	NGC1596   	066.90866	-55.02780	10.250	 15.625
 	NGC1602   	066.97905	-55.05777	 9.192	
 	NGC1637   	070.36743	-02.85796	 9.990	 10.703
 	NGC1640   	070.56042	-20.43482	10.181	 19.100
 	NGC1672   	071.42701	-59.24728	10.661	 14.500
 	NGC1679   	072.47920	-31.96552	 9.537	 12.729
 	NGC1688   	072.09888	-59.80027	 9.684	 15.450
 	NGC1703   	073.21712	-59.74233	 9.985	 17.400
 	NGC1705   	073.55597	-53.36099	 8.301	  5.367
 	NGC1744   	074.99220	-26.02809	 9.396	 10.853
 	NGC1792   	076.30999	-37.98058	10.571	 13.200
 	NGC1800   	076.60680	-31.95408	 8.740	  7.400
 	NGC1808   	076.92638	-37.51284	10.615	 11.550
 	NGC1809   	075.52059	-69.56798	 9.504	 14.700
 	NGC1824   	076.73416	-59.72752	 9.081	 13.783
 	NGC1827   	077.51910	-36.96038	 9.183	 11.600
 	NGC1853   	078.06842	-57.39910	 9.773	 26.480
 	NGC1879   	079.95059	-32.14293	 9.461	 21.050
 	NGC1892   	079.28754	-64.95968	 9.635	 16.900
 	NGC2101   	086.60085	-52.08862	 8.967	 13.300
 	NGC2104   	086.76889	-51.55258	 9.137	 14.125
A	NGC2320   	106.42506	+50.58106	11.401	 78.750
 	NGC2460   	119.21797	+60.34939	10.738	 31.900
 	NGC3246   	156.67425	+03.86197	 9.880	 33.700
A	NGC3248   	156.93931	+22.84716	10.066	
 	NGC3252   	158.59671	+73.76494	 9.900	 25.980
 	NGC3254   	157.33313	+29.49172	10.575	 32.154
 	NGC3259   	158.14520	+65.04113	10.155	 34.382
 	NGC3264   	158.08275	+56.08341	 9.162	 20.720
A	NGC3266   	158.32332	+64.74944	10.115	
 	NGC3274   	158.07195	+27.66875	 9.056	 13.129
 	NGC3277   	158.23105	+28.51181	10.375	 25.000
 	NGC3279   	158.67801	+11.19733	10.502	 36.718
 	NGC3287   	158.69703	+21.64815	 9.884	 22.100
 	NGC3294   	159.06778	+37.32479	10.744	 29.829
 	NGC3299   	159.09935	+12.70762	 8.447	  5.400
 	NGC3301   	159.23350	+21.88213	10.449	 23.300
 	NGC3306   	159.29261	+12.65260	10.393	 50.143
 	NGC3310   	159.69103	+53.50340	10.319	 18.100
 	NGC3319   	159.78930	+41.68681	 9.730	 16.497
 	NGC3320   	159.90192	+47.39797	10.246	 36.563
 	NGC3321   	159.71090	-11.64869	10.236	 44.525
 	NGC3329   	161.16379	+76.80953	10.349	 30.300
 	NGC3338   	160.53154	+13.74685	10.571	 24.785
 	NGC3344   	160.87969	+24.92242	 9.740	  6.100
 	NGC3346   	160.91248	+14.87190	10.157	 22.400
 	NGC3351   	160.99062	+11.70366	10.486	 10.113
 	NGC3353   	161.34330	+55.96055	 9.419	 18.940
 	IC5078    	315.63015	-16.81816	 9.908	 21.488
 	IC5105B   	321.50089	-40.83479	 9.867	 25.470
 	IC5152    	330.66996	-51.29640	 8.212	  1.756
 	IC5156    	330.81185	-33.83829	10.589	 36.080
 	IC5170    	333.12343	-47.22193	 9.915	 20.710
 	IC5176    	333.73291	-66.84948	10.471	 26.911
 	IC5201    	335.23918	-46.03609	 9.563	 14.400
 	IC5240    	340.46829	-44.76718	10.455	 25.360
 	IC5249    	341.77605	-64.83193	 9.429	 29.230
 	IC5264    	344.22124	-36.55435	10.743	 47.750
 	IC5267    	344.30622	-43.39593	11.031	 26.080
A	NGC5304   	207.50629	-30.57843	10.876	 59.900
 	NGC5311   	207.23361	+39.98521	10.672	
 	NGC5313   	207.43478	+39.98475	10.851	 42.520
 	NGC5320   	207.58500	+41.36627	10.343	 35.476
 	NGC5326   	207.71125	+39.57493	10.577	 31.660
