A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	UGC01133  	023.76142	+04.38126	 8.482	 25.200
 	UGC01176  	025.04055	+15.90470	 8.199	  9.170
 	UGC01195  	025.61296	+13.97781	 8.767	 10.800
 	UGC01197  	025.63808	+18.30601	 9.291	 36.050
 	UGC01200  	025.70123	+13.15599	 8.684	
 	UGC01240  	026.58581	+04.26429	 8.735	
 	UGC01500  	030.30082	+19.67498	 9.395	 40.400
 	UGC12791  	357.20536	+26.22086	 8.190	 12.900
 	NGC4701   	192.29830	+03.38872	 9.974	 23.843
 	NGC4707   	192.09555	+51.16590	 8.295	  8.000
 	NGC4710   	192.41194	+15.16582	10.501	 16.800
 	NGC4713   	192.49120	+05.31136	 9.836	 16.367
 	NGC4722   	192.88486	-13.32998	 9.850	
 	NGC4723   	192.76245	-13.23633	 8.896	
 	NGC4725   	192.61073	+25.50070	10.881	 13.637
 	NGC4731   	192.75510	-06.39352	10.062	 19.750
A	NGC4733   	192.77823	+10.91211	 9.973	 16.933
 	NGC4736   	192.72100	+41.12021	10.521	  5.126
 	NGC4746   	192.98060	+12.08268	10.408	 32.743
 	NGC4747   	192.94014	+25.77522	 9.461	 12.300
 	NGC4749   	192.80158	+71.63539	10.294	 29.575
 	NGC4750   	192.53045	+72.87463	10.729	 26.100
 	NGC4753   	193.09196	-01.19955	10.930	 16.869
 	NGC4754   	193.07296	+11.31387	10.640	 17.264
 	NGC4758   	193.18337	+15.84861	 9.487	 15.600
 	NGC4762   	193.23331	+11.23097	10.848	 22.460
 	NGC4765   	193.31058	+04.46325	 9.538	 21.200
 	NGC4771   	193.33866	+01.26944	10.091	 19.762
 	NGC4941   	196.05461	-05.55156	10.355	 18.220
 	NGC4942   	196.07962	-07.64954	 9.905	 32.560
 	NGC4948   	196.23358	-07.94815	 9.676	 22.000
 	NGC4948A  	196.27437	-08.16159	 9.447	 26.200
 	NGC4951   	196.28211	-06.49384	 9.968	 16.600
 	NGC4958   	196.45374	-08.02021	10.635	 18.467
 	NGC4961   	196.44829	+27.73424	10.103	 45.186
 	NGC4965   	196.78894	-28.22822	10.375	 42.480
 	NGC4772   	193.37160	+02.16834	10.747	 30.475
 	NGC0584   	022.83627	-06.86796	10.787	 19.930
 	NGC0600   	023.27190	-07.31164	 9.793	 22.900
 	NGC0613   	023.57571	-29.41857	11.087	 25.125
 	NGC0615   	023.77362	-07.34030	10.537	 27.142
 	NGC0625   	023.76455	-41.43722	 8.770	  3.807
 	NGC0628   	024.17387	+15.78363	10.291	  9.078
 	NGC0658   	025.54018	+12.60183	10.369	 38.833
 	NGC0660   	025.75969	+13.64581	10.470	 13.450
 	NGC0672   	026.97699	+27.43276	 9.493	  8.000
 	NGC0676   	027.23862	+05.90604	10.418	 19.500
 	NGC0678   	027.35347	+21.99726	10.591	 27.875
 	NGC0680   	027.44703	+21.97086	10.741	 34.850
 	NGC0681   	027.29501	-10.42634	10.752	 33.600
