ID	Name	Distance
265	IC3104	2.27
266	NGC4258	7.98
267	UGC7356	6.7
268	ISZ399	9
269	NGC4288	7.7
270	UGC7408	6.9
271	UGC7490	8.4
272	LEDA166137	6
273	NGC4395	4.61
274	UGCA281	5.7
275	UGC7559	4.87
276	UGC7577	2.58
277	UGC7584	7.3
278	LSBCF573-01	7.2
279	NGC4449	4.21
280	UGC7599	6.9
281	UGC7605	4.43
282	NGC4455	7.8
283	UGC7608	7.8
284	NGC4460	9.6
285	MCG+07-26-011	6
286	UGC7639	8
287	MCG+07-26-012	6.4
288	NGC4485	7.1
289	NGC4490	8
290	UGC7678	9.3
291	UGC7690	7.7
292	UGC7699	6.8
293	UGC7698	6.1
294	UGC7719	9.4
295	NGC4534	10.8
296	UGC7774	7.4
297	UGCA290	6.7
298	UGCA292	3.62
299	M104	9.3
300	NGC4605	5.47
301	NGC4618	7.8
302	NGC4625	8.7
303	NGC4631	8.1
304	UGC7866	4.57
305	NGC4656	8.6
306	UGC7916	8.2
307	ESO381-G020	5.44
308	UGCA298	10.3
309	UGC7950	7.9
310	UGC7949	9.9
311	NGC4707	7.4
312	NGC4736	4.66
313	UGC8024	4.3
314	UGC8055	6.6
315	NGC4826	7.5
316	UGC8091	2.08
317	UGC8146	10.6
318	UGCA319	7.4
319	UGCA320	7.2
320	NGC4945	3.6
321	UGC8188	4.49
322	UGC8201	4.57
323	MCG-03-34-002	10.2
324	UGC8215	4.55
325	UGC8245	3.6
326	NGC5023	5.4
327	CGCG217-018	8.2
328	UGC8308	4.19
329	UGC8313	8.7
330	UGC8320	4.33
331	UGC8331	8.2
332	NGC5055	7.5
333	NGC5068	6.2
334	NGC5102	3.4
335	NGC5128	3.66
336	IC4247	4.97
337	ESO324-G024	3.73
338	NGC5204	4.65
339	NGC5194	8
340	NGC5195	8
341	UGC8508	2.58
342	SBS1331+493	9.3
343	NGC5206	3.6
344	NGC5229	5.1
345	NGC5238	5.2
346	ESO270-G017	8.9
347	[KK98]208	4.68
348	NGC5236	4.47
349	ESO444-G084	4.61
350	UGC8638	4.27
351	UGC8651	3.14
352	NGC5253	3.15
353	IC4316	4.4
354	NGC5264	4.53
355	UGC8683	9.6
356	ESO325-G011	3.4
357	ESO383-G087	3.45
358	ESO383-G091	3.6
359	UGC8760	3.22
360	UGC8837	8.3
361	UGC8833	3.08
362	ESO384-G016	4.53
363	NGC5457	6.7
364	NGC5408	4.81
365	NGC5474	7.2
366	NGC5477	7.7
367	KKR03	1.97
368	Circinus	2.8
369	KUG1413+573	7.4
370	UGC9128	2.21
371	SBS1415+437	9.5
372	NGC5585	5.7
373	UGC9211	10.7
374	NGC5608	10.2
375	UGC9240	2.79
376	UKS1424-460	3.58
377	ESO222-G010	5.4
378	UGC9405	8
379	MRK475	9
380	ESO272-G025	5.6
381	UGC9497	10
382	NGC5832	8.8
383	ESO223-G009	6.49
384	UGC9660	10.2
385	ESO274-G001	3.09
386	NGC5949	8.5
387	UGC9893	10.9
388	UGC9992	8.6
389	LEDA100404	6.8
390	ESO137-G018	6.4
391	ESO179-IG013	9
392	UGC10669	9.2
393	UGC10736	9.8
394	IC4662	2.44
395	NGC6503	5.27
396	ESO140-G019	10.8
397	IC4710	7.7
398	NGC6689	9.8
399	ESO104-G022	8.7
400	NGC6744	9.4
401	ESO104-G044	8.4
402	NGC6789	3.6
403	ESO594-G004	1.04
404	IC4870	9.9
405	NGC6822	0.5
406	IC4951	9.3
407	UGC11583	5.9
408	LEDA166192	5.9
409	LEDA166193	5.9
410	NGC6946	5.9
411	KKR55	5.9
412	DDO210	0.94
413	KKR56	5.9
414	CEPHEUS1	5.9
415	IC5052	5.9
416	KKR59	5.9
417	KKR60	5.9
418	NGC7064	9.9
419	NGC7090	10.4
420	IC5152	1.97
421	UGC11891	10.8
422	ESO238-G005	8.9
423	IC5256	10.8
424	NGC7640	8.9
425	UGC12588	9.5
426	UGCA438	2.18
427	ESO347-G017	9.4
428	UGC12613	0.76
429	UGC12632	9.6
430	IC5332	9.5
431	NGC7713	9.3
432	UGC12713	7.7
433	UGCA442	4.27
434	ESO348-G009	8.6
435	ESO149-G003	6.4
436	NGC7793	3.91
1	ESO410-G005	2.01
2	SCULPTOR-DE1	4.19
3	ESO294-G010	1.94
4	ESO540-G030	3.33
5	ESO540-G032	3.54
6	UGC521	11.3
7	NGC0404	3.05
8	IC2049	16.7
9	UGCA133	3.1
10	F8D1	3.66
11	FM2000_1	3.53
12	LEDA166101	3.55
13	ARPSLOOP	3.78
14	KKH057	3.9
15	AM1001-270	1.29
16	BK05N	3.49
17	UGC05442	3.72
18	IKN	3.61
19	HS98_117	3.82
20	DDO078	3.66
21	BK06N	3.8
22	UGC6782	14
23	ESO321-G014	3.18
24	UGC7321	20
25	KKH086	2.59
26	KKR25	1.93
27	KKH098	2.54
