_RAJ2000	_DEJ2000	Cl	Name	PGC	UGC	Dist	VMag	Rad	Rd	E(B-V)	logSFR1	logSFR2	[O/H]	Factor	Flux	MHI	PA	b/a	i	SimbadName	NED	LEDA	_RA	_DE
deg	deg	 	 	 	 	Mpc	mag	arcmin	kpc	mag	[Msun/yr/kpc2]	[Msun/yr/kpc2]	[-]	 	[Jy.m/s]	[Msun]	deg	 	deg	 	 	 	deg	deg
-----------	-----------	---	---------	-----	-----	----	-----	-----	-----	-----	-----	-----	----	-------	-----	-----	-----	-----	----	----------	---	----	---------	---------
135.7245833	+20.0747222	Im 	F564-V3  	     	     	 8.7	-14.0	     	 0.53	 0.02	     	-2.79	 7.6	 351.11	 5.07	 7.61	  8.5	 0.83	35.8	LEDA 86668	NED	LEDA	135.72458	+20.07472
005.0912500	+59.2941667	Im 	IC 10    	 1305	  192	 0.7	-16.3	     	 0.40	 0.75	-1.11	     	 8.2	   7.08	 6.93	 7.78	-38.0	 0.78	41.0	IC 10     	NED	LEDA	005.09125	+59.29417
016.2050000	+02.1300000	Im 	IC 1613  	 3844	  668	 0.7	-14.6	 9.10	 0.58	 0.00	-2.56	-1.99	 7.6	   4.61	 6.86	 7.53	 71.0	 0.81	37.9	IC 1613   	NED	LEDA	016.20500	+02.13000
015.9800000	+21.8775000	Im 	LGS 3    	 3792	     	 0.7	 -9.7	 0.96	 0.23	 0.04	     	-3.88	 7.0	   2.09	 4.87	 5.19	 -3.5	 0.51	64.4	LGS 3     	NED	LEDA	015.98000	+21.87750
125.9883333	+71.0308333	Im 	M81dwA   	23521	     	 3.5	-11.7	     	 0.26	 0.02	     	-2.26	 7.3	 124.28	 5.09	 7.18	 86.0	 0.73	45.8	PGC 023521	NED	LEDA	125.98833	+71.03083
067.7075000	+64.8475000	Im 	NGC 1569 	15345	 3056	 3.4	-18.2	     	 0.38	 0.51	 0.19	-0.01	 8.2	 179.04	 6.14	 8.39	-59.0	 0.55	61.1	NGC 1569  	NED	LEDA	067.70750	+64.84750
112.2033333	+69.2061111	Im 	NGC 2366 	21102	 3851	 3.4	-16.8	 4.72	 1.36	 0.04	-1.67	-1.66	 7.9	 132.41	 6.72	 8.84	 32.5	 0.42	72.1	NGC 2366  	NED	LEDA	112.20333	+69.20611
173.9541667	+54.5230556	Im 	NGC 3738 	35856	 6565	 4.9	-17.1	 2.40	 0.78	 0.00	-1.66	-1.53	 8.4	 326.55	 5.54	 8.06	  0.0	 1.00	 0.0	NGC 3738  	NED	LEDA	173.95417	+54.52306
183.0383333	+36.1702778	Im 	NGC 4163 	38881	 7199	 2.9	-14.4	 1.47	 0.27	 0.00	-2.28	-1.74	 7.9	  69.27	 5.32	 7.16	 18.0	 0.64	53.7	NGC 4163  	NED	LEDA	183.03833	+36.17028
183.9133333	+36.3272222	Im 	NGC 4214 	39225	 7278	 3.0	-17.6	 4.67	 0.75	 0.00	-1.03	-1.08	 8.2	  87.28	 6.82	 8.76	 16.0	 0.91	25.8	NGC 4214  	NED	LEDA	183.91333	+36.32722
296.2341625	-14.7975806	Im 	NGC 6822 	63616	     	 0.5	-15.2	     	 0.57	 0.22	-2.06	-1.82	 8.1	       	     	     	     	     	    	NGC 6822  	NED	LEDA	296.23416	-14.79758
292.5025000	-17.6822222	Im 	SagDIG   	63287	     	 1.1	-12.5	     	 0.23	 0.14	-2.97	-2.11	 7.3	   6.47	 6.13	 6.94	 87.5	 0.53	62.7	LEDA 63287	NED	LEDA	292.50250	-17.68222
202.6870833	+54.9080556	Im 	UGC 8508 	47495	     	 2.6	-13.6	 1.28	 0.27	 0.00	-2.03	     	 7.9	 109.21	 5.24	 7.28	-60.0	 0.54	61.9	UGC 8508  	NED	LEDA	202.68708	+54.90806
000.4966667	-15.4613889	Im 	WLM      	  143	     	 1.0	-14.4	 5.81	 0.57	 0.02	-2.77	-2.05	 7.8	  12.21	 6.76	 7.85	 -2.0	 0.44	70.3	PGC 143   	NED	LEDA	000.49667	-15.46139
186.5695833	+48.4938889	BCD	Haro 29  	40665	     	 5.8	-14.6	 0.84	 0.29	 0.00	-0.77	-1.07	 7.9	 416.32	 5.18	 7.80	 86.0	 0.58	58.6	PGC 40665 	NED	LEDA	186.56958	+48.49389
191.7345833	+51.6133333	BCD	Haro 36  	43124	 7950	 9.3	-15.9	     	 0.69	 0.00	-1.86	-1.55	 8.4	1010.34	 5.15	 8.16	  2.0	 0.81	37.9	PGC 43124 	NED	LEDA	191.73458	+51.61333
173.3708333	+49.2400000	BCD	Mrk 178  	35684	 6541	 3.9	-14.1	 1.01	 0.33	 0.00	-1.60	-1.66	 7.7	 210.35	 4.67	 6.99	-50.0	 0.46	68.6	Mrk 178   	NED	LEDA	173.37083	+49.24000
171.9925000	+78.9941667	BCD	VIIZw 403	35286	 6456	 4.4	-14.3	 1.11	 0.52	 0.02	-1.71	-1.67	 7.7	 125.27	 5.59	 7.69	-10.0	 0.49	66.0	UGC  6456 	NED	LEDA	171.99250	+78.99417
