_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
186.4915000;+10.0537222;IC 3328                     ;18.000;12 25 57.96;+10 03 13.4; 4.28
187.0618750;+11.7899167;IC 3381                     ;19.000;12 28 14.85;+11 47 23.7; 4.62
187.0513333;+10.2976667;IC 3383                     ;16.200;12 28 12.32;+10 17 51.6; 4.24
187.8341250;+14.1151944;IC 3442                     ;16.900;12 31 20.19;+14 06 54.7;
188.0114167;+11.8900833;IC 3461                     ;16.800;12 32 02.74;+11 53 24.3; 3.91
188.0236667;+11.8179167;IC 3466                     ;17.000;12 32 05.68;+11 49 04.5;
188.0592083;+10.2515556;IC 3468                     ;21.300;12 32 14.21;+10 15 05.6; 4.34
188.0972917;+11.2632222;IC 3470                     ;16.100;12 32 23.35;+11 15 47.6;
188.3083750;+12.8578333;IC 3486                     ;15.900;12 33 14.01;+12 51 28.2; 4.64
188.3060000; +9.3973611;IC 3487                     ;16.200;12 33 13.44;+09 23 50.5; 3.94
188.3079167;+10.9285278;IC 3490                     ;18.200;12 33 13.90;+10 55 42.7;
188.3323750;+12.8535556;IC 3492                     ;16.800;12 33 19.77;+12 51 12.8;
188.4650417;+13.3226111;IC 3501                     ;16.300;12 33 51.61;+13 19 21.4;
188.5280833;+12.7416111;IC 3506                     ;17.000;12 34 06.74;+12 44 29.8;
188.5481667;+12.0488611;IC 3509                     ;16.800;12 34 11.56;+12 02 55.9;
188.6646250; +7.1601944;IC 3521                     ;16.700;12 34 39.51;+07 09 36.7;
189.1812083;+13.2593333;IC 3583                     ; 9.520;12 36 43.49;+13 15 33.6;
189.2285833;+12.5201389;IC 3586                     ;16.500;12 36 54.86;+12 31 12.5;
189.7695833;+14.7311389;IC 3612                     ;14.600;12 39 04.70;+14 43 52.1;
190.0468750; +9.8959444;IC 3633                     ;16.100;12 40 11.25;+09 53 45.4; 3.36
190.0555417;+12.8750000;IC 3635                     ;16.900;12 40 13.33;+12 52 30.0;
190.2440000;+11.1845000;IC 3652                     ;16.100;12 40 58.56;+11 11 04.2;
190.3155000;+11.3871667;IC 3653                     ;15.500;12 41 15.72;+11 23 13.8; 5.13
190.4142083;+12.2473889;IC 3663                     ;15.700;12 41 39.41;+12 14 50.6;
190.7417500;+10.6818056;IC 3693                     ;16.800;12 42 58.02;+10 40 54.5;
191.3349167;+13.6926944;IC 3735                     ;17.200;12 45 20.38;+13 41 33.7; 4.50
191.8135833;+10.2034444;IC 3773                     ;25.500;12 47 15.26;+10 12 12.4; 5.67
191.8360000;+12.1664167;IC 3779                     ;15.800;12 47 20.64;+12 09 59.1; 4.84
277.1582083;-66.9822778;IC 4710                     ; 7.380;18 28 37.97;-66 58 56.2;
344.3065417;-43.3961389;IC 5267                     ;24.500;22 57 13.57;-43 23 46.1;
352.1809583;-41.3334722;IC 5325                     ;18.100;23 28 43.43;-41 20 00.5;
353.6145417;-36.1010833;IC 5332                     ; 8.400;23 34 27.49;-36 06 03.9;
027.9595833; -5.4965278;KUG 0149-057                ;36.100;01 51 50.30;-05 29 47.5;
145.0535000;+29.5917500;KUG 0937+298                ;19.800;09 40 12.84;+29 35 30.3;
