ID SDSS IDNUM RAJ2000 DEJ2000 Dist(Mpc)
70	SDSS J132202.09+311642.1	65	200.508737	+31.278382	0.02481	108.2802
71	SDSS J131432.45+304220.8	66	198.635228	+30.705784	0.02491	108.7247
72	SDSS J133619.63+332524.3	67	204.081827	+33.423438	0.02493	108.8137
73	SDSS J133306.57+330903.7	68	203.277383	+33.151051	0.02496	108.9470
74	SDSS J133303.09+343301.3	69	203.262898	+34.550381	0.02497	108.9915
75	SDSS J133238.95+252628.2	70	203.162318	+25.441171	0.02505	109.3472
76	SDSS J141658.36+013825.5	71	214.243189	+01.640432	0.02506	109.3917
77	SDSS J133451.23+340319.8	180	203.713482	+34.055519	0.02509	109.5251
78	SDSS J125809.22+284230.8	152	194.538441	+28.708561	0.02537	110.7705
79	SDSS J130037.86+280328.6	72	195.157753	+28.057967	0.02553	111.4824
80	SDSS J122337.49-002821.3	73	185.906210	-00.472588	0.02554	111.5269
81	SDSS J125837.28+271035.8	74	194.655342	+27.176613	0.02557	111.6605
82	SDSS J133538.40+255230.9	75	203.910036	+25.875259	0.02562	111.8830
83	SDSS J125835.18+273547.0	76	194.646608	+27.596408	0.02564	111.9720
84	SDSS J132856.70+325244.0	77	202.236268	+32.878888	0.02564	111.9720
85	SDSS J141330.00+001109.0	78	213.375002	+00.185844	0.02574	112.4171
86	SDSS J134018.24+320911.2	79	205.076024	+32.153136	0.02578	112.5951
87	SDSS J084325.99+025420.9	80	130.858324	+02.905821	0.02605	113.7973
88	SDSS J133845.88+302849.5	173	204.691173	+30.480433	0.02607	113.8864
89	SDSS J133514.79+250241.1	81	203.811659	+25.044749	0.02609	113.9754
90	SDSS J142653.06+005746.3	82	216.721118	+00.962874	0.02617	114.3317
91	SDSS J132838.16+333618.3	83	202.159035	+33.605109	0.02625	114.6881
92	SDSS J125818.23+290743.6	19	194.575995	+29.128783	0.02633	115.0445
93	SDSS J125810.06+320059.4	84	194.541933	+32.016518	0.02656	116.0693
94	SDSS J132323.00+334326.3	85	200.845852	+33.723991	0.02674	116.8716
95	SDSS J134051.15+242823.8	86	205.213157	+24.473293	0.02704	118.2092
96	SDSS J085408.51+002954.8	88	133.535472	+00.498567	0.02821	123.4314
97	SDSS J085747.31-001159.8	89	134.447161	-00.199955	0.02821	123.4314
98	SDSS J133944.15+274635.2	90	204.933959	+27.776456	0.02821	123.4314
99	SDSS J114522.07-013354.5	91	176.341988	-01.565164	0.02835	124.0569
100	SDSS J134017.95+262058.3	92	205.074829	+26.349554	0.02840	124.2803
101	SDSS J114359.62+002540.7	93	175.998435	+00.427994	0.02868	125.5318
102	SDSS J131804.10+335118.2	94	199.517084	+33.855077	0.02871	125.6659
103	SDSS J134145.21+270016.9	87	205.438399	+27.004709	0.02894	126.6942
104	SDSS J125610.97+280947.4	149	194.045738	+28.163169	0.02900	126.9626
105	SDSS J131958.56+340209.8	95	199.994007	+34.036069	0.02912	127.4993
106	SDSS J130125.07+284038.0	163	195.354480	+28.677225	0.02915	127.6335
107	SDSS J084648.77+001812.6	96	131.703214	+00.303512	0.02918	127.7677
108	SDSS J143245.52+015238.8	97	218.189683	+01.877469	0.02978	130.4529
109	SDSS J130855.07+290226.7	98	197.229465	+29.040753	0.03138	137.6249
110	SDSS J131700.03+340605.9	99	199.250137	+34.101662	0.03139	137.6697
111	SDSS J125902.07+280656.3	100	194.758627	+28.115665	0.03141	137.7595
112	SDSS J142227.60+000332.5	101	215.615035	+00.059047	0.03167	138.9265
113	SDSS J131437.78+275044.0	103	198.657419	+27.845567	0.03273	143.6889
114	SDSS J130804.16+340027.3	104	197.017352	+34.007592	0.03317	145.6679
115	SDSS J132122.24+255703.6	105	200.342698	+25.951018	0.03345	146.9279
116	SDSS J143842.98-000027.8	106	219.679111	-00.007748	0.03369	148.0083
117	SDSS J133947.34+300725.7	107	204.947273	+30.123825	0.03372	148.1434
118	SDSS J143042.33+015253.2	108	217.676379	+01.881447	0.03380	148.5036
119	SDSS J144307.78+010600.0	109	220.782444	+01.100021	0.03383	148.6387
120	SDSS J131239.04+340354.5	110	198.162676	+34.065152	0.03404	149.5845
121	SDSS J130801.65+264555.3	111	197.006892	+26.765377	0.03406	149.6747
122	SDSS J132619.34+261440.0	112	201.580590	+26.244459	0.03409	149.8098
123	SDSS J132151.16+322612.6	113	200.463201	+32.436846	0.03426	150.5757
124	SDSS J133933.35+295949.4	114	204.888956	+29.997077	0.03446	151.4771
125	SDSS J130856.37+282409.4	115	197.234887	+28.402620	0.03457	151.9729
126	SDSS J130919.67+343451.4	116	197.331976	+34.580954	0.03462	152.1983
127	SDSS J134140.38+255326.9	117	205.418286	+25.890815	0.03467	152.4238
128	SDSS J134308.83+302015.8	118	205.786813	+30.337732	0.03474	152.7394
129	SDSS J134229.72+341303.4	119	205.623844	+34.217636	0.03479	152.9649
130	SDSS J131901.33+275330.1	120	199.755549	+27.891702	0.03484	153.1903
131	SDSS J121017.87-003104.4	121	182.574492	-00.517903	0.03487	153.3256
132	SDSS J131313.45+335903.9	122	198.306065	+33.984434	0.03513	154.4984
133	SDSS J133213.68+265659.9	191	203.057038	+26.949977	0.03529	155.2204
134	SDSS J132616.00+333540.8	123	201.566686	+33.594668	0.03552	156.2584
135	SDSS J132731.45+342008.2	124	201.881049	+34.335611	0.03563	156.7550
136	SDSS J132156.64+285039.4	125	200.486002	+28.844302	0.03574	157.2517
137	SDSS J115950.68-012255.0	126	179.961198	-01.381950	0.03579	157.4775
138	SDSS J132240.39+325322.7	127	200.668302	+32.889648	0.03589	157.9291
139	SDSS J130428.23+264019.0	128	196.117638	+26.671962	0.03595	158.2001
140	SDSS J115736.61+010826.7	129	179.402561	+01.140775	0.03620	159.3295
141	SDSS J133931.82+312657.8	130	204.882614	+31.449412	0.03628	159.6910
142	SDSS J133334.94+294921.0	131	203.395612	+29.822522	0.03646	160.5045
143	SDSS J133724.84+272509.1	132	204.353504	+27.419214	0.03656	160.9566
144	SDSS J133917.44+280205.9	133	204.822682	+28.034982	0.03666	161.4087
145	SDSS J132732.44+273614.0	134	201.885169	+27.603890	0.03670	161.5895
146	SDSS J132708.67+281544.2	135	201.786145	+28.262278	0.03689	162.4488
147	SDSS J143816.50-002059.0	136	219.568771	-00.349745	0.03690	162.4940
148	SDSS J143643.42-003401.3	137	219.180928	-00.567049	0.03699	162.9011
149	SDSS J130014.45+271650.6	138	195.060211	+27.280727	0.03704	163.1273
150	SDSS J132237.71+321439.4	139	200.657123	+32.244292	0.03709	163.3535
151	SDSS J132609.41+264612.2	140	201.539209	+26.770066	0.03714	163.5797
152	SDSS J132608.93+262837.7	141	201.537215	+26.477160	0.03715	163.6249
153	SDSS J132957.76+303831.4	142	202.490689	+30.642056	0.03727	164.1679
154	SDSS J132657.33+261434.4	143	201.738906	+26.242889	0.03742	164.8468
155	SDSS J131745.65+271302.4	144	199.440219	+27.217337	0.03761	165.7069
156	SDSS J131141.24+262323.5	146	197.921863	+26.389861	0.03806	167.7449
157	SDSS J144322.25+010553.2	147	220.842738	+01.098119	0.03814	168.1073
158	SDSS J131551.16+263320.4	148	198.963166	+26.555677	0.03824	168.5604
159	SDSS J132800.24+315216.4	150	202.001031	+31.871239	0.03857	170.0562
160	SDSS J142433.17+011038.3	151	216.138223	+01.177318	0.03878	171.0083
161	SDSS J132115.52+333732.0	153	200.314674	+33.625572	0.03886	171.3712
162	SDSS J115705.93+010731.8	154	179.274744	+01.125520	0.03955	174.5021
163	SDSS J121948.26-005231.6	155	184.951095	-00.875445	0.03960	174.7291
164	SDSS J132443.68+323225.0	156	201.182003	+32.540287	0.03978	175.5464
165	SDSS J132515.15+324016.1	157	201.313155	+32.671138	0.03984	175.8189
