GALAXY	RA(J2000)	DEC(J2000)	Maj	D (Mpc)	M(B)
AM1001-270	04:03.9	-27:19:55	2	1.3	-9.4
BK05N	04:41.1	+68:15:22	0.8	3.8	-10.4
UGC5428	05:06.4	+66:33:32	1.7	3.5	-12.04
UGC05423	05:30.6	+70:21:52	0.9	5.3	-13.68
UGC5442	07:01.9	+67:49:39	1.9	3.7	-12.3
UGC05456	07:19.6	+10:21:46	1.6	3.8	-14.29
IKN	08:05.9	+68:23:57	2.7	3.7	-10.8
SextansA	11:00.8	-04:41:34	5.9	1.32	-13.87
[HS98]117	21:25.2	+71:06:51	1.5	4	-11.5
NGC3239	25:05.6	+17:09:37	5	8.29	-17.98
DDO078	26:27.4	+67:39:16	2	3.7	-12.1
UGC05672	28:20.9	+22:34:17	1.8	6.3	-13.9
UGC05666	28:21.2	+68:24:43	13.2	4.02	-17.32
UGC05692	30:35.0	+70:37:07	3.2	4	-14.42
NGC3274	32:17.1	+27:40:07	2.1	6.5	-15.93
BK06N	34:29.8	+66:00:30	1.1	3.8	-11.1
NGC3299	36:23.8	+12:42:27	2.2	10.4	-16.04
UGC05764	36:43.3	+31:32:48	2	7.08	-14.09
UGC05797	39:25.2	+01:43:05	1	6.84	-14.26
UGC05829	42:42.2	+34:26:56	4.7	7.88	-15.81
NGC3344	43:30.9	+24:55:22	7.1	6.64	-18.74
NGC3351	43:57.8	+11:42:14	7.4	10	-19.55
NGC3368	46:45.7	+11:49:12	7.6	10.52	-20.07
UGC05889	47:22.3	+14:04:10	2.2	9.3	-15.71
UGC05923	49:07.6	+06:55:02	0.9	7.16	-15.32
UGC05918	49:36.5	+65:31:50	2.4	7.4	-14.15
NGC3432	52:31.3	+36:37:11	6.8	7.89	-17.84
KDG73	52:57.1	+69:32:58	0.6	3.7	-10.62
NGC3486	00:23.9	+28:58:30	7.1	8.24	-18.58
NGC3510	03:43.4	+28:53:13	4	8.57	-15.43
NGC3521	05:48.6	-00:02:09	11	8.03	-19.84
NGC3593	14:37.0	+12:49:04	5.2	6.52	-17.25
NGC3623	18:55.9	+13:05:37	9.8	8.95	-19.57
NGC3627	20:15.0	+12:59:30	9.1	10.05	-20.43
NGC3628	20:16.9	+13:35:20	14.8	9.45	-19.66
UGC06457	27:12.2	-00:59:41	0.9	10.24	-15.14
UGC06541	33:28.9	+49:14:14	1.2	3.89	-13.58
NGC3738	35:48.8	+54:31:26	2.5	4.9	-16.5
NGC3741	36:06.2	+45:17:01	2	3.19	-13.08
UGC06782	48:57.2	+23:50:16	2	14	-15.74
UGC06817	50:53.0	+38:52:49	4.1	2.64	-13.6
UGC06900	55:39.4	+31:31:10	2.1	7.47	-14.62
NGC4020	58:56.6	+30:24:44	2.1	9.68	-16.14
NGC4068	04:00.8	+52:35:18	3.3	4.31	-15.19
NGC4080	04:51.8	+26:59:33	1.2	6.92	-14.98
NGC4096	06:01.0	+47:28:40	6.6	8.28	-18.14
