index,z,D (Mpc)
0,0.02434,106.85329542857141
1,0.02931,129.29604042857142
2,0.01278,55.471407428571425
3,0.020451,89.43961457571429
4,0.020958,91.70244756
5,0.015147,65.89899261000001
6,0.015227,66.25226369571428
7,0.02032,88.855296
8,0.0131719,57.19456692689999
9,0.013973,60.72104883857142
10,0.0117633,51.00717954381428
11,0.014497,63.030698609999995
12,0.023603,103.54329260999998
13,0.011755,50.970771535714285
14,0.018259,79.68167606142858
15,0.0206639,90.38955755661426
16,0.011114,48.16080426857143
17,0.017522,76.41008778857142
18,0.0196437,85.84103549867143
19,0.015447,67.22404203857143
20,0.0131,56.878328571428575
21,0.012822,55.656015788571416
22,0.017652,76.98682758857143
23,0.01404,61.016235428571434
24,0.005204,22.41892121142857
25,0.015087,65.63407529571428
26,0.0131494,57.095600230114286
27,0.013883,60.324590095714285
28,0.0148695,64.67400870107143
29,0.019131,83.55855068999998
30,0.017539,76.48549937571427
31,0.0189012,82.53623726331426
32,0.0170784,74.44316462811429
33,0.0187923,82.05193088267143
34,0.017279,75.33241646142856
35,0.018653,81.43257603857143
36,0.016141,70.29227948999998
37,0.01401,60.88405757142857
38,0.018626,81.31254804
39,0.01956,85.46825828571428
40,0.016185,70.48694667857141
41,0.014567,63.33941780999999
42,0.020054,87.66926964
43,0.014096,61.26298806857143
44,0.014003,60.85321718142856
45,0.016223,70.6550816957143
46,0.015524,67.56426246857143
47,0.016084,70.04012166857143
48,0.016061,69.93838166142858
49,0.017352,75.65610815999999
50,0.0211591,92.60060362632856
51,0.0184694,80.61650887011429
52,0.0182413,79.60305011009999
53,0.00938686,40.607027745684
54,0.0163352,71.1515946816
55,0.0130143,56.50145144781428
56,0.0168099,73.25345459147141
57,0.00662842,28.595811221555998
58,0.00587154,25.311492779878282
59,0.0262562,115.48109159331426
60,0.0169519,73.88257248689999
61,0.00523,22.531512428571432
62,0.026772,117.80888564571427
63,0.013095,56.856338678571426
64,0.01856,81.01917257142856
65,0.00547,23.57108957142857
66,0.0264146,116.19570468497142
67,0.0233359,102.34484669489999
68,0.0153705,66.88608115821428
69,0.016401,71.44282629
70,0.011631,50.42691497571428
71,0.0158647,69.07023731181428
72,0.025654,112.76626164
73,0.011321,49.06785017571427
74,0.0128195,55.64502677249999
75,0.006448,27.812471588571423
76,0.012649,54.895702289999996
77,0.027379,120.55118417571428
78,0.0159442,69.42178934417142
79,0.026849,118.15658057571427
80,0.013386,58.136507125714274
81,0.014954,65.04695192571428
82,0.016962,73.92732618857143
83,0.013646,59.280914211428566
84,0.021318,93.31053053142855
85,0.005347,23.038244609999996
86,0.013653,59.31173318142856
87,0.005074,21.85605204
88,0.015464,67.29915126857142
89,0.0205737,89.98704485009998
90,0.014441,62.783753489999995
91,0.00510439,21.98762055973757
92,0.027446,120.85406964
93,0.015297,66.56142089571428
94,0.01395,60.619724999999995
95,0.02354,103.26056399999997
96,0.005167,22.258705238571423
97,0.017255,75.22600725
98,0.013673,59.399789695714276
99,0.016618,72.40353396
100,0.0243977,107.11263327981428
101,0.016088,70.05781604571429
102,0.025311,111.22134309
103,0.0214657,93.97061261352856
104,0.017699,77.19537686142856
105,0.0238089,104.46755879661428
106,0.0233734,102.5130678324
107,0.0167912,73.17061884617141
108,0.023189,101.68598451857142
109,0.024627,108.14352483857141
110,0.028847,127.19635461
111,0.0137043,59.537605022099996
