Set	Name	Nobs	RAJ2000	DEJ2000	VMag	e_VMag	E_VMag	rh	e_rh	E_rh	ell	e_ell	m-M	e_m-M	E_m-M	Mass	[Fe/H]	e_[Fe/H]	E_[Fe/H]	Type	B15	SimbadName	NED
 	 	 	"h:m:s"	"d:m:s"	mag	mag	mag	 	 	 	 	 	mag	mag	mag	Msun	Sun	Sun	Sun	 	 	 	
---	----------	---	----------	---------	------	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	---------	-----	-----	----	------	---	---------------------	---
MW 	Leo T     	  9	09 34 53.4	+17 03 05	 -8.00	 0.50	     	 0.99	 0.06	     	 0.00	     	23.10	 0.10	     	  0.14000	-1.99	 0.05	    	dTrans	  1	Leo T                	NED
MW 	Pisces II 	  9	22 58 31.0	+05 57 09	 -5.00	     	     	 1.10	 0.10	     	 0.40	 0.10	21.31	 0.18	     	  0.00860	-1.90	     	    	dSph  	  1	Pisces II            	NED
MW 	Sextans   	  5	10 13 03.0	-01 36 54	 -9.27	 0.58	     	     	     	     	     	     	19.90	 0.06	     	 40.00000	-2.10	 0.10	    	dSph  	  0	NAME Sextans dSph    	NED
Iso	IC 10     	 17	00 20 17.3	+59 18 14	-15.00	 0.20	     	 2.65	     	     	 0.19	 0.02	24.50	 0.12	     	 86.00000	-1.28	     	    	dIrr  	  1	IC 10                	NED
Iso	WLM       	  3	00 01 58.2	-15 27 39	-14.20	 0.10	     	 7.78	     	     	 0.65	 0.01	24.85	 0.08	     	 43.00000	-1.27	 0.04	    	dIrr  	  1	NAME WLM Galaxy      	NED
Iso	Sag DIG   	 13	19 29 59.0	-17 40 41	-11.50	 0.30	     	 0.91	 0.05	     	 0.50	     	25.14	 0.18	     	  3.50000	-2.10	 0.20	    	dIrr  	  1	Sag DIG              	NED
Iso	Aquarius  	  6	20 46 51.8	-12 50 53	-10.60	 0.10	     	 1.47	 0.04	     	 0.50	 0.10	25.15	 0.08	     	  1.60000	-1.30	 0.20	    	dTrans	  1	NAME Aquarius Dwarf  	NED
Iso	UGC 4879  	  7	09 16 02.2	+52 50 24	-12.50	 0.20	     	 0.41	 0.04	     	 0.44	 0.04	25.67	 0.04	     	  8.30000	-1.50	 0.20	    	dTrans	  0	UGC 4879             	NED
Iso	Cetus     	  3	00 26 11.0	-11 02 40	-11.20	 0.20	     	 3.20	 0.10	     	 0.33	 0.06	24.39	 0.07	     	  2.60000	-1.90	 0.10	    	dSph  	  1	NAME Cetus dSph      	NED
Iso	Leo A     	 10	09 59 26.5	+30 44 47	-12.10	 0.20	     	 2.15	     	     	 0.40	 0.03	24.51	 0.12	     	  6.00000	-1.40	 0.20	    	dIrr  	  1	Leo A                	NED
Iso	Leo P     	  2	10 21 45.1	+18 05 17	 -9.41	 0.50	 0.17	     	     	     	 0.52	     	26.19	 0.50	 0.17	  0.57000	-1.80	 0.10	    	dTrans	  0	Leo P                	NED
Iso	Sextans A 	  3	10 11 00.8	-04 41 34	-14.30	 0.10	     	 2.47	     	     	 0.17	 0.02	25.78	 0.08	     	 44.00000	-1.85	     	    	dIrr  	  1	Sextans A            	NED
Iso	Sextans B 	  3	10 00 00.1	+05 19 56	-14.50	 0.20	     	 1.06	 0.10	     	 0.31	 0.03	25.77	 0.03	     	 52.00000	-1.60	     	    	dIrr  	  1	Sextans B            	NED
GC 	Segue III 	 12	21 21 31.1	+19 07 03	  0.00	 0.80	     	 0.47	 0.13	     	     	     	16.10	 0.10	     	         	-1.70	 0.30	 0.1	GC    	  1	Segue III            	NED
GC 	Sextans C 	  4	10 05 31.9	+00 04 18	 -5.69	     	     	 0.65	     	     	     	     	19.95	     	     	         	-1.63	     	    	GC    	  0	Sextans C            	NED
GC 	Palomar 4 	  2	11 29 15.8	+28 58 23	 -6.01	     	     	 0.51	     	     	     	     	20.21	     	     	         	-1.41	     	    	GC    	  0	Palomar 4            	NED
GC 	NGC 2419  	 11	07 38 08.4	+38 52 56	 -9.42	     	     	 0.89	     	     	 0.03	     	19.83	     	     	         	-2.15	     	    	GC    	  0	NGC 2419             	NED

