_RAJ2000	_DEJ2000	Seq	Name	n_Name	RAJ2000	DEJ2000	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	Mpc
----------	----------	---	--------------	-	----------	---------	-----
060.976250	-43.349167	 73	NGC1512       	p	04 03 54.3	-43 20 57	 9.60
061.532083	-52.669167	 74	NGC1522       	p	04 06 07.7	-52 40 09	 9.30
061.706667	-21.174722	 75	NGC1518       	p	04 06 49.6	-21 10 29	10.80
063.172083	-23.160000	 76	ESO483-G013   	s	04 12 41.3	-23 09 36	10.40
064.435417	-50.164444	 77	NGC1556       	p	04 17 44.5	-50 09 52	10.50
065.306250	-21.845556	 78	UGCA90        	p	04 21 13.5	-21 50 44	10.40
067.420000	-27.408611	 79	NGC1592       	p	04 29 40.8	-27 24 31	10.60
067.704167	+64.848056	 80	NGC1569       	s	04 30 49.0	+64 50 53	 1.90
068.020417	+63.613611	 81	UGCA92        	s	04 32 04.9	+63 36 49	 1.80
068.198750	+71.879444	 82	NGC1560       	s	04 32 47.7	+71 52 46	 3.45
071.569583	-57.343056	 83	ESO158-G003   	p	04 46 16.7	-57 20 35	10.00
072.143750	 +0.241667	 84	UGC3174       	s	04 48 34.5	+00 14 30	 8.10
072.871667	-61.650833	 85	ESO119-G016   	p	04 51 29.2	-61 39 03	 9.80
073.557083	-53.361389	 86	NGC1705       	p	04 54 13.7	-53 21 41	 5.10
074.244583	-42.803889	 87	ESO252-IG001  	p	04 56 58.7	-42 48 14	 6.00
074.990000	-26.021944	 88	NGC1744       	p	04 59 57.6	-26 01 19	 7.70
075.678333	-61.139722	 89	NGC1796       	p	05 02 42.8	-61 08 23	10.30
075.832083	-25.423056	 90	ESO486-G021   	p	05 03 19.7	-25 25 23	 8.90
076.600417	-31.953056	 91	MCG-05-13-004 	p	05 06 24.1	-31 57 11	 6.60
076.605833	-31.954167	 92	NGC1800       	p	05 06 25.4	-31 57 15	 8.20
076.926250	-37.512778	 93	NGC1808       	p	05 07 42.3	-37 30 46	10.60
077.031667	-38.309167	 94	ESO305-G009   	p	05 08 07.6	-38 18 33	10.90
077.695833	-31.597222	 95	UGCA103       	p	05 10 47.0	-31 35 50	10.40
077.997083	-32.972500	 96	UGCA106       	p	05 11 59.3	-32 58 21	 9.80
078.562500	+62.575278	 97	UGCA105       	s	05 14 15.0	+62 34 31	 3.15
080.893750	-69.756111	 98	LMC           	p	05 23 34.5	-69 45 22	 0.05
081.247917	 +4.505000	 99	UGC3303       	s	05 24 59.5	+04 30 18	 7.20
081.773750	-20.678056	100	ESO553-G046   	p	05 27 05.7	-20 40 41	 5.00
084.742917	-41.737222	101	ESO306-G013   	p	05 38 58.3	-41 44 14	10.80
087.726250	-14.779167	102	UGCA114       	s	05 50 54.3	-14 46 45	 9.80
088.927500	 +3.391667	103	UGCA116       	s	05 55 42.6	+03 23 30	 9.10
089.921667	+73.427500	104	KKH34         	s	05 59 41.2	+73 25 39	 4.61
091.438333	-33.080833	105	ESO364-G?029  	p	06 05 45.2	-33 04 51	 7.40
091.830417	-34.204722	106	AM0605-341    	s	06 07 19.3	-34 12 17	 7.00
092.539583	-34.106111	107	NGC2188       	p	06 10 09.5	-34 06 22	 6.80
092.817917	-21.599167	108	UGCA120       	s	06 11 16.3	-21 35 57	 8.70
095.231250	 -8.495000	109	UGCA127       	s	06 20 55.5	-08 29 42	 7.50
097.620000	+39.503889	110	UGC3475       	s	06 30 28.8	+39 30 14	 7.00
101.450833	-47.531111	111	ESO255-G019   	p	06 45 48.2	-47 31 52	10.40
101.940833	+80.123889	112	KKH37         	s	06 47 45.8	+80 07 26	 3.39
102.666250	-52.140278	113	ESO207-G007   	p	06 50 39.9	-52 08 25	10.70
103.916667	+39.095278	114	UGC3600       	s	06 55 40.0	+39 05 43	 7.30
106.328333	-58.520278	115	AM0704-582    	p	07 05 18.8	-58 31 13	 4.90
107.556250	+44.457222	116	NGC2337       	p	07 10 13.5	+44 27 26	 7.90
110.685417	+45.108611	117	UGC3817       	s	07 22 44.5	+45 06 31	 8.60
112.071667	+40.770000	118	UGC3860       	s	07 28 17.2	+40 46 12	 7.81
112.227500	+69.215833	119	NGC2366       	p	07 28 54.6	+69 12 57	 3.19
112.322917	+27.899444	120	UGC3876       	p	07 29 17.5	+27 53 58	10.80
112.825833	-68.188056	121	ESO059-G001   	p	07 31 18.2	-68 11 17	 4.57
114.116250	-47.634722	122	NGC2427       	s	07 36 27.9	-47 38 05	 9.00
114.214167	+65.602500	123	NGC2403       	p	07 36 51.4	+65 36 09	 3.22
115.358333	+40.112222	124	UGC3966       	p	07 41 26.0	+40 06 44	 6.80
115.480833	+16.802500	125	UGC3974       	s	07 41 55.4	+16 48 09	 8.04
116.883750	+51.191389	126	CGCG262-028   	p	07 47 32.1	+51 11 29	 6.90
119.257500	+14.390833	127	UGC4115       	s	07 57 01.8	+14 23 27	 7.72
120.472083	+50.737500	128	NGC2500       	p	08 01 53.3	+50 44 15	 7.60
123.311250	+45.990556	129	NGC2537       	p	08 13 14.7	+45 59 26	 6.90
123.495417	+45.742778	130	UGC4278       	p	08 13 58.9	+45 44 34	 7.60
124.766667	+70.719167	131	UGC4305       	p	08 19 04.0	+70 43 09	 3.39
124.833750	+50.006944	132	NGC2552       	p	08 19 20.1	+50 00 25	 7.70
125.983333	+71.029167	133	M81dwA        	s	08 23 56.0	+71 01 45	 3.55
126.481250	+35.542222	134	SDSSJ0825+3532	s	08 25 55.5	+35 32 32	 9.30
127.118333	+41.856667	135	UGC4426       	p	08 28 28.4	+41 51 24	10.28
128.530000	+66.181667	136	UGC4459       	p	08 34 07.2	+66 10 54	 3.56
129.064167	-26.409444	137	ESO495-G021   	s	08 36 15.4	-26 24 34	 7.80
129.262500	+69.775278	138	UGC4483       	s	08 37 03.0	+69 46 31	 3.21
133.172500	+33.420556	139	NGC2683       	p	08 52 41.4	+33 25 14	 7.70
134.751250	+39.210000	140	UGC4704       	s	08 59 00.3	+39 12 36	 7.80
135.724167	+20.075556	141	LSBCD564-08   	s	09 02 53.8	+20 04 32	 8.67
136.895417	+33.276667	142	UGC4787       	s	09 07 34.9	+33 16 36	 6.50
137.222917	+14.581944	143	LSBCD634-03   	s	09 08 53.5	+14 34 55	 9.46
137.443750	-23.009167	144	UGCA148       	s	09 09 46.5	-23 00 33	 9.80
138.081250	-24.172500	145	NGC2784       	s	09 12 19.5	-24 10 21	 9.80
138.300417	-19.408611	146	UGCA153       	s	09 13 12.1	-19 24 31	 6.50
139.470417	-22.355000	147	NGC2835       	s	09 17 52.9	-22 21 18	 8.00
139.875000	+21.603333	148	LSBCD565-06   	s	09 19 30.0	+21 36 12	 9.08
140.367083	-22.501944	149	UGCA162       	s	09 21 28.1	-22 30 07	 7.50
141.300417	+68.383056	150	UGC4998       	p	09 25 12.1	+68 22 59	10.50
141.547917	-76.626667	151	NGC2915       	s	09 26 11.5	-76 37 36	 3.78
143.042083	+21.501111	152	NGC2903       	p	09 32 10.1	+21 30 04	 8.90
143.151667	+51.871944	153	UGC5076       	s	09 32 36.4	+51 52 19	 8.30
143.687083	 +6.425556	154	CGCG035-007   	s	09 34 44.9	+06 25 32	 5.20
143.722500	+17.051389	155	LeoT          	s	09 34 53.4	+17 03 05	 0.42
145.112917	+48.337500	156	UGC5151       	p	09 40 27.1	+48 20 15	10.70
145.134583	+71.182222	157	UGC5139       	p	09 40 32.3	+71 10 56	 3.84
146.182917	 +9.615278	158	IC559         	p	09 44 43.9	+09 36 55	 4.90
146.267500	+32.238333	159	UGC5209       	s	09 45 04.2	+32 14 18	 6.40
146.813750	+67.916667	160	NGC2976       	p	09 47 15.3	+67 55 00	 3.56
147.580833	+31.455833	161	UGC5272b      	s	09 50 19.4	+31 27 21	 7.10
147.593333	+31.487778	162	UGC5272       	s	09 50 22.4	+31 29 16	 7.10
147.820833	 +7.827500	163	UGC5288       	p	09 51 17.0	+07 49 39	 6.80
147.847917	-27.010000	164	NGC3037       	p	09 51 23.5	-27 00 36	 7.90
148.452083	+68.969167	165	BK3N          	s	09 53 48.5	+68 58 09	 4.02
148.888333	+69.065278	166	NGC3031       	p	09 55 33.2	+69 03 55	 3.63
148.967500	+69.679722	167	NGC3034       	p	09 55 52.2	+69 40 47	 3.53
149.190417	+28.826389	168	UGC5340       	p	09 56 45.7	+28 49 35	 5.90
149.262917	+68.591944	169	KDG61         	s	09 57 03.1	+68 35 31	 3.60
149.383333	+69.045833	170	UGC5336       	p	09 57 32.0	+69 02 45	 3.70
149.692500	-28.621944	171	ESO435-G016   	p	09 58 46.2	-28 37 19	 9.10
149.836250	-28.131667	172	ESO435-IG020  	p	09 59 20.7	-28 07 54	 9.00
149.860000	+30.746389	173	UGC5364       	p	09 59 26.4	+30 44 47	 0.69
150.000417	 +5.332222	174	UGC5373       	p	10 00 00.1	+05 19 56	 1.44
150.650000	 -6.013611	175	UGCA193       	p	10 02 36.0	-06 00 49	 9.70
150.777500	-26.158889	176	NGC3109       	p	10 03 06.6	-26 09 32	 1.34
150.835833	+68.734444	177	NGC3077       	p	10 03 20.6	+68 44 04	 3.82
150.924167	-27.027778	178	UGCA196       	p	10 03 41.8	-27 01 40	 8.80
151.108750	-28.444167	179	NGC3113       	p	10 04 26.1	-28 26 39	10.50
151.170833	+29.365278	180	UGC5427       	s	10 04 41.0	+29 21 55	 7.10
151.276667	+66.558889	181	UGC5428       	s	10 05 06.4	+66 33 32	 3.50
151.308333	 -7.718611	182	NGC3115       	s	10 05 14.0	-07 43 07	 9.70
151.377500	+70.364444	183	UGC5423       	s	10 05 30.6	+70 21 52	 5.30
151.640000	-29.935833	184	NGC3125       	p	10 06 33.6	-29 56 09	10.80
151.780417	+15.984444	185	UGC5453       	s	10 07 07.3	+15 59 04	 9.30
151.829167	+47.006111	186	UGC5451       	p	10 07 19.0	+47 00 22	 8.70
151.831667	+10.362778	187	UGC5456       	p	10 07 19.6	+10 21 46	 3.80
151.845833	+38.969444	188	KUG1004+392   	s	10 07 23.0	+38 58 10	 7.80
152.281250	-29.064444	189	NGC3137       	p	10 09 07.5	-29 03 52	10.80
152.753333	 -4.692778	190	SextansA      	p	10 11 00.8	-04 41 34	 1.32
153.675417	-28.871944	191	NGC3175       	p	10 14 42.1	-28 52 19	10.70
156.273333	+17.160278	192	NGC3239       	p	10 25 05.6	+17 09 37	 8.30
