_RAJ2000	_DEJ2000	Seq	Name	n_Name	RAJ2000	DEJ2000	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	Mpc
----------	----------	---	--------------	-	----------	---------	-----
195.820000	-17.423056	319	UGCA320       	p	13 03 16.8	-17 25 23	 7.20
196.364583	-49.468333	320	NGC4945       	s	13 05 27.5	-49 28 06	 3.60
196.456250	+37.605000	321	UGC8188       	p	13 05 49.5	+37 36 18	 4.49
196.603333	+67.706944	322	UGC8201       	p	13 06 24.8	+67 42 25	 4.57
196.985833	-16.689167	323	MCG-03-34-002 	p	13 07 56.6	-16 41 21	10.20
197.015000	+46.828056	324	UGC8215       	s	13 08 03.6	+46 49 41	 4.55
197.142500	+78.936944	325	UGC8245       	s	13 08 34.2	+78 56 13	 3.60
198.050417	+44.038889	326	NGC5023       	p	13 12 12.1	+44 02 20	 5.40
198.215833	+40.543056	327	CGCG217-018   	s	13 12 51.8	+40 32 35	 8.20
198.344583	+46.320278	328	UGC8308       	s	13 13 22.7	+46 19 13	 4.19
198.475417	+42.210000	329	UGC8313       	p	13 13 54.1	+42 12 36	 8.70
198.616250	+45.919167	330	UGC8320       	p	13 14 27.9	+45 55 09	 4.33
198.876250	+47.498889	331	UGC8331       	p	13 15 30.3	+47 29 56	 8.20
198.955000	+42.030278	332	NGC5055       	p	13 15 49.2	+42 01 49	 7.50
199.727500	-21.038889	333	NGC5068       	p	13 18 54.6	-21 02 20	 6.20
200.490000	-36.630278	334	NGC5102       	s	13 21 57.6	-36 37 49	 3.40
201.365000	-43.019167	335	NGC5128       	s	13 25 27.6	-43 01 09	 3.66
201.685000	-30.362500	336	IC4247        	p	13 26 44.4	-30 21 45	 4.97
201.905417	-41.480556	337	ESO324-G024   	p	13 27 37.3	-41 28 50	 3.73
202.400833	+58.418333	338	NGC5204       	p	13 29 36.2	+58 25 06	 4.65
202.469583	+47.195278	339	NGC5194       	p	13 29 52.7	+47 11 43	 8.00
202.494583	+47.268056	340	NGC5195       	p	13 29 58.7	+47 16 05	 8.00
202.685000	+54.910000	341	UGC8508       	p	13 30 44.4	+54 54 36	 2.69
203.345417	+49.101667	342	SBS1331+493   	s	13 33 22.9	+49 06 06	 9.30
203.432500	-48.151111	343	NGC5206       	s	13 33 43.8	-48 09 04	 3.60
203.511250	+47.915278	344	NGC5229       	p	13 34 02.7	+47 54 55	 5.10
203.677917	+51.614167	345	NGC5238       	p	13 34 42.7	+51 36 51	 5.20
203.697083	-45.547500	346	ESO270-G017   	s	13 34 47.3	-45 32 51	 8.90
204.147917	-29.571389	347	[KK98]        	p	13 36 35.5	-29 34 17	 4.68
204.253333	-29.866389	348	NGC5236       	p	13 37 00.8	-29 51 59	 4.47
204.333750	-28.046111	349	ESO444-G084   	s	13 37 20.1	-28 02 46	 4.61
204.830833	+24.775556	350	UGC8638       	s	13 39 19.4	+24 46 32	 4.27
204.974167	+40.739167	351	UGC8651       	p	13 39 53.8	+40 44 21	 3.02
204.982917	-31.640000	352	NGC5253       	p	13 39 55.9	-31 38 24	 3.15
205.076667	-28.892222	353	IC4316        	p	13 40 18.4	-28 53 32	 4.40
205.403750	-29.913889	354	NGC5264       	p	13 41 36.9	-29 54 50	 4.53
205.635000	+39.658333	355	UGC8683       	s	13 42 32.4	+39 39 30	 9.60
206.252083	-41.861111	356	ESO325-G011   	s	13 45 00.5	-41 51 40	 3.40
207.324167	-36.061667	357	ESO383-G087   	p	13 49 17.8	-36 03 42	 3.45
207.634583	-37.288889	358	ESO383-G091   	p	13 50 32.3	-37 17 20	 3.60
207.710833	+38.019167	359	UGC8760       	p	13 50 50.6	+38 01 09	 3.24
208.690417	+53.900833	360	UGC8837       	p	13 54 45.7	+53 54 03	 8.30
208.702917	+35.837500	361	UGC8833       	s	13 54 48.7	+35 50 15	 3.20
209.256250	-35.333889	362	ESO384-G016   	p	13 57 01.5	-35 20 02	 4.53
210.802083	+54.348611	363	NGC5457       	p	14 03 12.5	+54 20 55	 6.70
210.837500	-41.378889	364	NGC5408       	s	14 03 21.0	-41 22 44	 4.81
211.256250	+53.662500	365	NGC5474       	p	14 05 01.5	+53 39 45	 7.20
211.387917	+54.460833	366	NGC5477       	p	14 05 33.1	+54 27 39	 7.70
211.794583	+35.060278	367	KKR03         	s	14 07 10.7	+35 03 37	 2.14
213.288750	-65.339167	368	Circinus      	s	14 13 09.3	-65 20 21	 2.80
213.789167	+57.087500	369	KUG1413+573   	s	14 15 09.4	+57 05 15	 7.40
213.985417	+23.055278	370	UGC9128       	p	14 15 56.5	+23 03 19	 2.24
214.255833	+43.501389	371	SBS1415+437   	s	14 17 01.4	+43 30 05	 9.50
214.950833	+56.729444	372	NGC5585       	p	14 19 48.2	+56 43 46	 5.70
215.634167	+45.383889	373	UGC9211       	p	14 22 32.2	+45 23 02	10.70
215.824583	+41.775833	374	NGC5608       	p	14 23 17.9	+41 46 33	10.20
216.180833	+44.525833	375	UGC9240       	p	14 24 43.4	+44 31 33	 2.80
217.015417	-46.301667	376	UKS1424-460   	s	14 28 03.7	-46 18 06	 3.58
218.760833	-49.420556	377	ESO222-G010   	s	14 35 02.6	-49 25 14	 5.40
218.851667	+57.255278	378	UGC9405       	p	14 35 24.4	+57 15 19	 8.00
219.772500	+36.805833	379	MRK475        	s	14 39 05.4	+36 48 21	 9.00
220.856250	-44.705278	380	ESO272-G025   	s	14 43 25.5	-44 42 19	 5.60
221.053333	+42.628889	381	UGC9497       	s	14 44 12.8	+42 37 44	10.00
224.440417	+71.682222	382	NGC5832       	p	14 57 45.7	+71 40 56	 8.80
225.286250	-48.290556	383	ESO223-G009   	s	15 01 08.7	-48 17 26	 6.49
225.288750	+44.698056	384	UGC9660       	p	15 01 09.3	+44 41 53	10.20
228.556667	-46.810000	385	ESO274-G001   	s	15 14 13.6	-46 48 36	 3.09
232.002917	+64.763056	386	NGC5949       	p	15 28 00.7	+64 45 47	 8.50
233.238750	+46.452778	387	UGC9893       	s	15 32 57.3	+46 27 10	10.90
235.449167	+67.254167	388	UGC9992       	p	15 41 47.8	+67 15 15	 8.60
242.245417	+17.506944	389	LEDA100404    	s	16 08 58.9	+17 30 25	 6.80
245.246667	-60.487778	390	ESO137-G018   	s	16 20 59.2	-60 29 16	 6.40
251.833333	-57.441111	391	ESO179-IG013  	s	16 47 20.0	-57 26 28	 9.00
255.105417	+70.290000	392	UGC10669      	s	17 00 25.3	+70 17 24	 9.20
257.020833	+69.463889	393	UGC10736      	s	17 08 05.0	+69 27 50	 9.80
266.776667	-64.640278	394	IC4662        	s	17 47 06.4	-64 38 25	 2.44
267.362917	+70.144444	395	NGC6503       	p	17 49 27.1	+70 08 40	 5.27
275.693333	-62.270278	396	ESO140-G019   	s	18 22 46.4	-62 16 13	10.80
277.158750	-66.981667	397	IC4710        	p	18 28 38.1	-66 58 54	 7.70
278.708750	+70.524167	398	NGC6689       	p	18 34 50.1	+70 31 27	 9.80
283.921667	-64.810833	399	ESO104-G022   	s	18 55 41.2	-64 48 39	 8.70
287.442500	-63.856944	400	NGC6744       	p	19 09 46.2	-63 51 25	 9.40
287.846250	-64.219167	401	ESO104-G044   	p	19 11 23.1	-64 13 09	 8.40
289.174583	+63.971667	402	NGC6789       	p	19 16 41.9	+63 58 18	 3.60
292.495833	-17.678056	403	ESO594-G004   	s	19 29 59.0	-17 40 41	 1.04
294.406667	-65.811944	404	IC4870        	p	19 37 37.6	-65 48 43	 9.90
296.235833	-14.789167	405	NGC6822       	s	19 44 56.6	-14 47 21	 0.50
302.380000	-61.846389	406	IC4951        	p	20 09 31.2	-61 50 47	 9.30
307.563750	+60.440278	407	UGC11583      	s	20 30 15.3	+60 26 25	 5.90
307.637083	+60.354722	408	LEDA166192    	s	20 30 32.9	+60 21 17	 5.90
307.883333	+60.812222	409	LEDA166193    	s	20 31 32.0	+60 48 44	 5.90
308.717917	+60.153889	410	NGC6946       	s	20 34 52.3	+60 09 14	 5.90
311.336667	+60.411111	411	KKR55         	s	20 45 20.8	+60 24 40	 5.90
311.715833	-12.848056	412	DDO210        	p	20 46 51.8	-12 50 53	 0.94
312.100417	+58.618333	413	KKR56         	s	20 48 24.1	+58 37 06	 5.90
312.794167	+56.890278	414	CEPHEUS1      	s	20 51 10.6	+56 53 25	 5.90
313.026250	-69.203611	415	IC5052        	p	20 52 06.3	-69 12 13	 5.90
315.850833	+57.287222	416	KKR59         	s	21 03 24.2	+57 17 14	 5.90
316.463750	+57.208889	417	KKR60         	s	21 05 51.3	+57 12 32	 5.90
322.262500	-52.767500	418	NGC7064       	p	21 29 03.0	-52 46 03	 9.90
324.119167	-54.556667	419	NGC7090       	p	21 36 28.6	-54 33 24	10.40
330.674583	-51.295556	420	IC5152        	p	22 02 41.9	-51 17 44	 1.97
330.891250	+43.749167	421	UGC11891      	s	22 03 33.9	+43 44 57	10.80
335.625000	-48.405000	422	ESO238-G005   	s	22 22 30.0	-48 24 18	 8.90
342.440833	-68.690556	423	IC5256        	p	22 49 45.8	-68 41 26	10.80
350.527500	+40.845278	424	NGC7640       	s	23 22 06.6	+40 50 43	 8.90
351.176667	+41.346667	425	UGC12588      	s	23 24 42.4	+41 20 48	 9.50
351.614583	-32.388889	426	UGCA438       	p	23 26 27.5	-32 23 20	 2.22
351.733333	-37.346944	427	ESO347-G017   	p	23 26 56.0	-37 20 49	 9.40
352.150833	+14.743056	428	UGC12613      	p	23 28 36.2	+14 44 35	 0.76
352.494583	+40.990278	429	UGC12632      	s	23 29 58.7	+40 59 25	 9.60
353.614167	-36.101389	430	IC5332        	p	23 34 27.4	-36 06 05	 9.50
354.064167	-37.938611	431	NGC7713       	p	23 36 15.4	-37 56 19	 9.30
354.560000	+30.708056	432	UGC12713      	p	23 38 14.4	+30 42 29	 7.70
355.939583	-31.956111	433	UGCA442       	p	23 43 45.5	-31 57 22	 4.27
357.347917	-37.771944	434	ESO348-G009   	s	23 49 23.5	-37 46 19	 8.60
358.011667	-52.577778	435	ESO149-G003   	s	23 52 02.8	-52 34 40	 6.40
359.457083	-32.591667	436	NGC7793       	p	23 57 49.7	-32 35 30	 3.91
