NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
NGC3303	10:37:00.08	+18:08:09.19	0.02	13.6133	V500+V1200 Completed	2013-01-14	NGC3303
UGC05771	10:37:19.33	+43:35:15.31	0.0247513	13.2691	V500+V1200 Completed	2012-05-18	UGC05771
NGC3381	10:48:24.81	+34:42:41.07	0.005416	12.8273	V500+V1200 Completed	2013-12-05	NGC3381
NGC3395	10:49:49.97	+32:58:48.35	0.00523181	12.6879	V500+V1200 Completed	2014-12-17	NGC3395
NGC3406NED01	10:51:43.63	+51:01:19.78	0.0250219	13.3501	V500+V1200 Completed	2013-01-12	NGC3406NED01
UGC05990	10:52:38.34	+34:28:59.29	0.00539701	14.1823	V500+V1200 Completed	2013-03-08	UGC05990
UGC06036	10:55:55.26	+36:51:41.46	0.021833	13.2357	V500+V1200 Completed	2012-01-21	UGC06036
IC0674	11:11:06.36	+43:37:58.81	0.0250687	13.4227	V500+V1200 Completed	2013-05-07	IC0674
UGC06256	11:13:56.28	+65:10:39.19	0.0112964	14.8212	V500+V1200 Completed	2014-12-18	UGC06256
UGC06312	11:18:00.19	+07:50:41.60	0.0211228	13.4905	V500+V1200 Completed	2013-03-09	UGC06312
NGC3615	11:18:06.65	+23:23:50.36	0.0220796	12.6124	V500+V1200 Completed	2012-04-21	NGC3615
NGC3614	11:18:21.33	+45:44:53.41	0.00773586	12.8224	V500+V1200 Completed	2012-04-22	NGC3614
NGC3610	11:18:25.26	+58:47:10.50	0.005904	10.907	V500, Completed	2015-03-29	NGC3610
NGC3619	11:19:21.55	+57:45:28.11	0.00524	11.8586	V500+V1200 Completed	2014-12-18	NGC3619
NGC3687	11:28:00.60	+29:30:39.78	0.008342	12.5464	V500+V1200 Completed	2013-03-14	NGC3687
NGC3811	11:41:16.62	+47:41:26.92	0.010247	12.6052	V500+V1200 Completed	2013-06-06	NGC3811
NGC3815	11:41:39.29	+24:48:01.79	0.0123856	13.0719	V500+V1200 Completed	2013-12-06	NGC3815
NGC3991	11:57:30.95	+32:20:13.28	0.01084	13.5545	V500+V1200 Completed	2012-01-21	NGC3991
NGC3994	11:57:36.86	+32:16:39.43	0.0103042	12.6989	V500+V1200 Completed	2013-05-30	NGC3994
NGC4003	11:57:59.03	+23:07:29.63	0.0218996	13.2473	V500+V1200 Completed	2012-04-24	NGC4003
UGC07012	12:02:03.14	+29:50:52.73	0.0102154	14.0552	V500+V1200 Completed	2011-12-30	UGC07012
NGC4047	12:02:50.68	+48:38:10.32	0.0114793	12.1782	V500+V1200 Completed	2012-01-21	NGC4047
UGC07145	12:09:50.98	+38:13:07.05	0.0221579	14.0424	V500+V1200 Completed	2012-01-22	UGC07145
NGC4149	12:10:32.85	+58:18:14.88	0.0102718	13.0812	V500+V1200 Completed	2013-06-10	NGC4149
NGC4185	12:13:22.19	+28:30:39.46	0.0129551	12.5536	V500+V1200 Completed	2012-02-23	NGC4185
NGC4210	12:15:15.84	+65:59:07.16	0.00906506	12.6303	V500+V1200 Completed	2012-01-22	NGC4210
NGC4211NED02	12:15:37.32	+28:10:10.64	0.022311	15.0668	V500+V1200 Completed	2014-01-05	NGC4211NED02
IC0776	12:19:03.11	+08:51:22.15	0.008142	14.3084	V500+V1200 Completed	2012-04-25	IC0776
NGC4470	12:29:37.77	+07:49:27.12	0.0078655	12.4645	V500+V1200 Completed	2011-12-30	NGC4470
IC3598	12:37:21.07	+28:12:29.34	0.0256001	13.7315	V500+V1200 Completed	2014-05-27	IC3598
NGC4644	12:42:42.66	+55:08:43.89	0.0164538	13.637	V500+V1200 Completed	2013-06-11	NGC4644
NGC4676A	12:46:10.10	+30:43:54.89	0.0221766	13.9184	V500+V1200 Completed	2011-06-29	NGC4676A
NGC4711	12:48:45.86	+35:19:57.72	0.0135919	13.2183	V500+V1200 Completed	2013-01-10	NGC4711
UGC08004	12:51:37.96	+31:21:09.94	0.0206682	14.4074	V500+V1200 Completed	2014-06-03	UGC08004
NGC4816	12:56:12.14	+27:44:43.71	0.023083	12.9052	V500+V1200 Completed	2013-03-08	NGC4816
NGC4841A	12:57:31.95	+28:28:36.98	0.0226056	12.7379	V500+V1200 Completed	2013-02-07	NGC4841A
NGC4874	12:59:35.70	+27:57:33.33	0.02393	12.4336	V500+V1200 Completed	2013-03-14	NGC4874
UGC08107	12:59:39.77	+53:20:28.20	0.0276877	13.5029	V500+V1200 Completed	2013-06-12	UGC08107
NGC4956	13:05:00.94	+35:10:40.91	0.015881	12.2593	V500+V1200 Completed	2014-01-04	NGC4956
NGC4961	13:05:47.56	+27:44:02.89	0.00854882	13.1813	V500+V1200 Completed	2013-06-12	NGC4961
UGC08231	13:08:37.55	+54:04:27.73	0.00825421	14.1752	V500+V1200 Completed	2013-07-08	UGC08231
UGC08234	13:08:46.50	+62:16:18.10	0.027039	12.9284	V500+V1200 Completed	2012-02-25	UGC08234
NGC5000	13:09:47.48	+28:54:24.99	0.0186648	13.2282	V500+V1200 Completed	2012-05-18	NGC5000
UGC08250	13:10:20.13	+32:28:59.47	0.0175963	14.6671	V500+V1200 Completed	2012-02-25	UGC08250
UGC08267	13:11:11.33	+43:43:34.78	0.0241826	14.0738	V500+V1200 Completed	2012-04-21	UGC08267
NGC5016	13:12:06.68	+24:05:42.04	0.00872048	12.4432	V500+V1200 Completed	2013-03-09	NGC5016
NGC5029	13:12:37.59	+47:03:47.80	0.0290437	12.8946	V500+V1200 Completed	2014-01-06	NGC5029
UGC08322	13:15:00.91	+12:43:30.94	0.0253774	13.3444	V500+V1200 Completed	2015-01-24	UGC08322
NGC5056	13:16:12.32	+30:57:01.11	0.01853	13.1974	V500+V1200 Completed	2014-02-02	NGC5056
IC4215	13:16:16.82	+25:24:18.78	0.0129967	13.6484	V500+V1200 Completed	2015-01-25	IC4215
NGC5157	13:27:16.84	+32:01:50.55	0.0244262	13.0252	V500+V1200 Completed	2015-01-26	NGC5157
NGC5205	13:30:03.56	+62:30:41.61	0.00590635	12.7749	V500+V1200 Completed	2013-01-08	NGC5205
NGC5198	13:30:11.38	+46:40:14.60	0.008466	11.9421	V500+V1200 Completed	2015-01-24	NGC5198
NGC5216	13:32:06.89	+62:42:02.39	0.00980303	12.8904	V500+V1200 Completed	2012-07-22	NGC5216
NGC5218	13:32:10.37	+62:46:03.82	0.00966179	12.3803	V500+V1200 Completed	2013-03-15	NGC5218
NGC5267	13:40:39.96	+38:47:38.71	0.019761	12.8791	V500+V1200 Completed	2014-12-20	NGC5267
UGC08662	13:41:17.25	+33:46:21.40	0.0067444	14.8945	V500+V1200 Completed	2013-04-30	UGC08662
NGC5289	13:45:08.71	+41:30:12.21	0.008441	12.8858	V500+V1200 Completed	2015-01-27	NGC5289
UGC08733	13:48:38.99	+43:24:44.82	0.007799	14.0159	V500+V1200 Completed	2011-04-04	UGC08733
NGC5320	13:50:20.37	+41:21:58.39	0.00874699	12.6551	V500+V1200 Completed	2014-01-27	NGC5320
IC0944	13:51:30.86	+14:05:31.95	0.0233591	13.0899	V500+V1200 Completed	2012-04-23	IC0944
UGC08778	13:52:06.66	+38:04:01.27	0.0108219	13.5353	V500+V1200 Completed	2012-06-17	UGC08778
UGC08781	13:52:22.74	+21:32:21.66	0.0252881	13.1952	V500+V1200 Completed	2012-06-19	UGC08781
NGC5376	13:55:16.05	+59:30:23.80	0.00695777	12.1914	V500+V1200 Completed	2015-01-25	NGC5376
NGC5379	13:55:34.31	+59:44:34.07	0.00599251	13.2196	V500+V1200 Completed	2015-01-27	NGC5379
NGC5378	13:56:51.01	+37:47:50.06	0.0100081	12.6814	V500+V1200 Completed	2012-02-25	NGC5378
NGC5402	13:58:16.59	+59:48:52.44	0.010128	13.6745	V500+V1200 Completed	2015-06-22	NGC5402
NGC5394	13:58:33.19	+37:27:13.11	0.01137	13.748	V500+V1200 Completed	2012-06-20	NGC5394
NGC5406	14:00:20.11	+38:54:55.53	0.0180046	12.37	V500+V1200 Completed	2012-06-21	NGC5406
NGC5425	14:00:47.67	+48:26:37.84	0.006908	13.6735	V500, Completed	2014-05-26	NGC5425
NGC5421NED02	14:01:42.10	+33:49:17.38	0.02625	14.1345	V500, Completed	2013-06-05	NGC5421NED02
NGC5439	14:01:57.66	+46:18:42.83	0.00629569	13.5819	V500, Completed	2014-05-25	NGC5439
NGC5443	14:02:11.80	+55:48:50.50	0.00603012	12.2525	V500, Completed	2014-04-26	NGC5443
NGC5423	14:02:48.62	+09:20:28.95	0.019733	12.876	V500, Completed	2015-03-28	NGC5423
UGC08988	14:03:20.22	+60:59:24.72	0.0069949	14.4475	V500+V1200 Completed	2014-12-21	UGC08988
NGC5434B	14:03:27.10	+09:28:02.21	0.0187969	14.3093	V500, Completed	2015-03-28	NGC5434B
UGC08984	14:03:47.16	+35:44:30.04	0.0127236	13.063	V500, Completed	2014-05-25	UGC08984
NGC5473	14:04:43.23	+54:53:33.44	0.006558	11.4714	V500+V1200 Completed	2014-12-21	NGC5473
NGC5475	14:05:12.41	+55:44:30.70	0.00576102	12.2719	V500+V1200 Completed	2014-12-18	NGC5475
NGC5480	14:06:21.57	+50:43:30.23	0.00631269	12.2664	V500+V1200 Completed	2014-06-02	NGC5480
NGC5485	14:07:11.34	+55:00:05.92	0.00637901	11.6429	V500+V1200 Completed	2013-01-08	NGC5485
UGC09071	14:10:03.08	+54:13:05.89	0.0062713	14.2089	V500+V1200 Completed	2014-12-20	UGC09071
UGC09080	14:10:35.91	+59:21:28.76	0.0102815	14.9506	V500+V1200 Completed	2014-12-19	UGC09080
UGC09067	14:10:45.45	+15:12:33.85	0.0261711	13.695	V500+V1200 Completed	2012-07-22	UGC09067
NGC5520	14:12:22.81	+50:20:54.30	0.006261	12.7619	V500+V1200 Completed	2013-07-11	NGC5520
NGC5513	14:13:08.62	+20:24:58.58	0.0167453	12.3822	V500, Completed	2014-06-04	NGC5513
UGC09110	14:14:13.39	+15:37:20.62	0.0155283	13.4634	V500, Completed	2015-03-28	UGC09110
UGC09113	14:14:14.77	+35:25:25.18	0.010638	14.2269	V500, Completed	2013-05-01	UGC09113
NGC5519	14:14:20.86	+07:30:57.24	0.0247907	13.7074	V500, Completed	2014-04-27	NGC5519
NGC5522	14:14:50.37	+15:08:48.79	0.0153027	13.0494	V500, Completed	2013-05-04	NGC5522
NGC5533	14:16:07.74	+35:20:37.78	0.01298	12.0438	V500, Completed	2014-04-26	NGC5533
IC0995	14:16:31.09	+57:48:36.61	0.0105465	14.121	V500, Completed	2013-08-12	IC0995
NGC5532	14:16:52.94	+10:48:26.70	0.0247666	12.1256	V500, Completed	2014-06-04	NGC5532
NGC5546	14:18:09.22	+07:33:52.36	0.0246562	12.5234	V500, Completed	2014-06-04	NGC5546
IC0994	14:18:22.63	+11:11:42.55	0.0244571	13.3649	V500, Completed	2014-05-26	IC0994
NGC5557	14:18:25.72	+36:29:36.83	0.010764	11.4763	V500, Completed	2014-04-25	NGC5557
NGC5549	14:18:38.81	+07:22:38.41	0.025667	12.6208	V500, Completed	2014-05-25	NGC5549
NGC5559	14:19:12.78	+24:47:55.43	0.0172154	13.5343	V500, Completed	2014-05-26	NGC5559
UGC09182	14:20:46.12	+21:56:08.69	0.0155943	13.4551	V500, Completed	2015-03-29	UGC09182
NGC5580	14:21:38.40	+35:12:17.51	0.010858	12.5306	V500, Completed	2014-04-25	NGC5580
UGC09199	14:21:59.89	+11:06:00.45	0.0257669	14.2772	V500, Completed	2014-04-26	UGC09199
NGC5587	14:22:10.71	+13:55:05.02	0.0076865	12.6632	V500, Completed	2014-04-27	NGC5587
NGC5602	14:22:18.83	+50:30:04.88	0.007415	12.6032	V500, Completed	2013-08-11	NGC5602
NGC5598	14:22:28.27	+40:19:11.33	0.0181429	12.9555	V500, Completed	2013-05-04	NGC5598
NGC5611	14:24:04.77	+33:02:50.64	0.006304	12.5993	V500, Completed	2013-06-05	NGC5611
NGC5614	14:24:07.58	+34:51:31.86	0.01297	11.7652	V500+V1200 Completed	2013-03-16	NGC5614
NGC5616	14:24:20.69	+36:27:41.11	0.028506	13.1958	V500, Completed	2013-05-04	NGC5616
NGC5610	14:24:22.93	+24:36:50.83	0.01689	12.9513	V500, Completed	2013-06-02	NGC5610
NGC5622	14:26:12.19	+48:33:50.32	0.0129589	13.3162	V500, Completed	2013-06-02	NGC5622
NGC5631	14:26:33.29	+56:34:57.41	0.006608	11.5539	V500+V1200 Completed	2013-06-11	NGC5631
UGC09253	14:26:58.50	+31:31:01.28	0.0131493	13.8668	V500, Completed	2014-04-26	UGC09253
NGC5623	14:27:08.65	+33:15:09.08	0.011318	12.3975	V500, Completed	2013-06-01	NGC5623
UGC09262	14:27:10.34	+35:55:18.02	0.028543	14.4582	V500, Completed	2013-05-31	UGC09262
NGC5630	14:27:36.60	+41:15:27.91	0.00886203	13.1946	V500+V1200 Completed	2013-03-18	NGC5630
NGC5635	14:28:31.74	+27:24:32.41	0.014397	12.2945	V500, Completed	2013-05-30	NGC5635
UGC09291	14:28:36.89	+38:59:56.93	0.00964	13.3282	V500, Completed	2012-06-23	UGC09291
NGC5642	14:29:13.48	+30:01:35.21	0.014443	12.3881	V500, Completed	2013-08-13	NGC5642
NGC5656	14:30:25.50	+35:19:15.70	0.0105303	12.1906	V500, Completed	2012-06-24	NGC5656
NGC5657	14:30:43.59	+29:10:50.95	0.01308	13.3931	V500+V1200 Completed	2013-07-10	NGC5657
NGC5659	14:31:06.13	+25:21:18.40	0.0150172	13.4221	V500, Completed	2013-05-05	NGC5659
NGC5665	14:32:25.73	+08:04:43.11	0.007409	12.1151	V500, Completed	2013-06-01	NGC5665
NGC5675	14:32:39.83	+36:18:08.03	0.0132108	12.5973	V500, Completed	2013-05-05	NGC5675
NGC5682	14:34:44.97	+48:40:12.83	0.00757523	14.0543	V500+V1200 Completed	2011-06-29	NGC5682
NGC5687	14:34:52.40	+54:28:33.06	0.007228	12.1989	V500+V1200 Completed	2015-07-07	NGC5687
NGC5689	14:35:29.70	+48:44:29.90	0.007218	11.6839	V500, Completed	2013-05-05	NGC5689
NGC5684	14:35:50.15	+36:32:35.63	0.0136585	12.7629	V500, Completed	2013-06-02	NGC5684
UGC09401	14:36:09.25	+21:47:36.66	0.018773	13.0251	V500, Completed	2014-05-23	UGC09401
NGC5714	14:38:11.51	+46:38:17.64	0.00753084	13.1886	V500, Completed	2013-05-04	NGC5714
NGC5720	14:38:33.28	+50:48:54.87	0.025971	13.3678	V500+V1200 Completed	2012-01-22	NGC5720
UGC09448	14:38:59.14	+51:07:14.43	0.00737607	14.3218	V500, Completed	2013-06-02	UGC09448
NGC5730	14:39:52.16	+42:44:32.40	0.00843518	13.6722	V500, Completed	2013-05-05	NGC5730
NGC5731	14:40:09.21	+42:46:46.30	0.00841749	13.7903	V500, Completed	2012-07-26	NGC5731
NGC5732	14:40:38.95	+38:38:16.16	0.012572	13.5999	V500+V1200 Completed	2012-07-21	NGC5732
UGC09476	14:41:32.02	+44:30:45.97	0.0109124	13.0641	V500+V1200 Completed	2012-04-23	UGC09476
NGC5739	14:42:28.90	+41:50:32.47	0.018459	12.1964	V500, Completed	2012-06-22	NGC5739
NGC5735	14:42:33.24	+28:43:35.23	0.0125098	13.059	V500, Completed	2012-06-15	NGC5735
UGC09492	14:44:12.18	+07:56:58.71	0.027746	13.4389	V500, Completed	2013-05-04	UGC09492
UGC09518	14:46:21.74	+32:46:48.78	0.0291018	13.1339	V500, Completed	2012-06-15	UGC09518
UGC09537	14:48:26.75	+34:59:53.01	0.0294506	13.3871	V500+V1200 Completed	2013-03-08	UGC09537
UGC09542	14:49:01.18	+42:27:50.13	0.0182965	13.9258	V500+V1200 Completed	2013-06-10	UGC09542
UGC09539	14:49:05.97	+22:11:53.38	0.0211892	13.7302	V500, Completed	2013-06-05	UGC09539
NGC5772	14:51:38.88	+40:35:56.98	0.0162794	12.5519	V500+V1200 Part. Observed	2015-08-07	NGC5772
NGC5784	14:54:16.44	+42:33:28.44	0.018126	12.5155	V500+V1200 Completed	2013-03-08	NGC5784
UGC09598	14:55:09.06	+43:49:06.89	0.0186414	13.655	V500+V1200 Completed	2013-02-07	UGC09598
NGC5797	14:56:24.05	+49:41:46.22	0.013306	12.4882	V500+V1200 Completed	2013-03-20	NGC5797
IC1079	14:56:36.15	+09:22:11.07	0.0291069	13.2181	V500+V1200 Completed	2014-06-02	IC1079
UGC09629	14:57:11.24	+52:20:45.76	0.0261427	13.5129	V500+V1200 Completed	2014-06-27	UGC09629
UGC09665	15:01:32.46	+48:19:10.93	0.00852993	13.5332	V500+V1200 Completed	2012-02-25	UGC09665
NGC5829	15:02:42.00	+23:20:01.03	0.018925	13.6926	V500, Completed	2012-02-26	NGC5829
UGC09711	15:06:36.57	+09:26:18.38	0.0278084	14.3246	V500, Completed	2012-07-24	UGC09711
IC4534	15:06:41.76	+23:38:30.91	0.0162595	13.1003	V500, Completed	2012-07-23	IC4534
NGC5876	15:09:31.57	+54:30:23.31	0.0108976	12.4877	V500+V1200 Completed	2014-06-25	NGC5876
UGC09759	15:10:41.12	+55:20:57.41	0.0115	13.8398	V500+V1200 Completed	2014-06-29	UGC09759
NGC5888	15:13:07.37	+41:15:52.67	0.0290791	13.0199	V500+V1200 Completed	2013-06-12	NGC5888
UGC09777	15:14:15.14	+20:28:43.15	0.0156704	13.8945	V500, Completed	2012-06-16	UGC09777
NGC5908	15:16:43.19	+55:24:34.45	0.011168	12.0591	V500+V1200 Completed	2013-03-14	NGC5908
UGC09842	15:25:05.79	+37:57:36.60	0.0297163	14.2101	V500+V1200 Completed	2015-04-22	UGC09842
UGC09849	15:25:16.44	+53:24:25.42	0.0115822	14.6165	V500+V1200 Completed	2013-07-10	UGC09849
NGC5928	15:26:02.87	+18:04:25.11	0.0149019	12.582	V500, Completed	2012-05-15	NGC5928
NGC5930	15:26:07.94	+41:40:33.83	0.00875033	12.4784	V500+V1200 Completed	2013-08-09	NGC5930
NGC5934	15:28:12.77	+42:55:47.65	0.0186198	13.2307	V500+V1200 Completed	2013-08-10	NGC5934
UGC09873	15:29:50.65	+42:37:44.11	0.0187871	14.5645	V500+V1200 Completed	2011-07-03	UGC09873
UGC09892	15:32:51.94	+41:11:29.27	0.0189301	14.1909	V500+V1200 Completed	2010-07-16	UGC09892
NGC5951	15:33:43.07	+15:00:26.10	0.00593105	12.8257	V500, Completed	2012-07-15	NGC5951
UGC09901	15:34:26.93	+12:16:12.64	0.010603	14.6083	V500+V1200 Completed	2014-06-25	UGC09901
NGC5953	15:34:32.38	+15:11:37.61	0.0066	12.3847	V500+V1200 Completed	2014-06-03	NGC5953
NGC5957	15:35:23.21	+12:02:51.33	0.00611016	12.491	V500, Completed	2012-04-25	NGC5957
NGC5971	15:35:36.90	+56:27:42.07	0.0112702	13.6221	V500+V1200 Completed	2012-08-21	NGC5971
UGC09919	15:35:39.67	+12:36:23.01	0.0106233	14.4062	V500+V1200 Completed	2014-06-26	UGC09919
NGC5966	15:35:52.10	+39:46:08.05	0.0150594	12.6429	V500+V1200 Completed	2011-04-04	NGC5966
IC4566	15:36:42.16	+43:32:21.54	0.0186178	13.1191	V500+V1200 Completed	2013-07-08	IC4566
UGC09937	15:37:22.91	+20:32:59.34	0.0148706	13.1824	V500+V1200 Completed	2015-06-22	UGC09937
NGC5987	15:39:57.35	+58:04:46.24	0.01	11.9526	V500+V1200 Completed	2013-06-12	NGC5987
NGC5980	15:41:30.44	+15:47:15.66	0.013629	12.5433	V500+V1200 Completed	2013-05-18	NGC5980
UGC10043	15:48:41.40	+21:52:11.12	0.00723431	14.4744	V500+V1200 Completed	2014-06-03	UGC10043
UGC10042	15:48:57.11	+07:13:19.53	0.014086	13.9187	V500, Completed	2014-06-04	UGC10042
NGC6004	15:50:22.72	+18:56:21.38	0.0127867	12.6525	V500+V1200 Completed	2013-03-09	NGC6004
UGC10097	15:55:43.26	+47:52:02.14	0.019884	12.5883	V500+V1200 Completed	2014-06-27	UGC10097
NGC6020	15:57:08.13	+22:24:16.48	0.0143895	12.8182	V500+V1200 Completed	2013-03-09	NGC6020
NGC6021	15:57:30.68	+15:57:21.76	0.0158408	12.9874	V500+V1200 Completed	2013-03-18	NGC6021
IC1151	15:58:32.33	+17:26:29.25	0.00725692	13.0935	V500+V1200 Completed	2014-06-02	IC1151
UGC10123	15:59:02.96	+51:18:16.90	0.0125645	13.5941	V500+V1200 Completed	2013-06-07	UGC10123
NGC6027	15:59:12.53	+20:45:48.09	0.0147928	13.6344	V500+V1200 Completed	2014-05-27	NGC6027
NGC6032	16:03:01.12	+20:57:21.33	0.0144894	13.441	V500+V1200 Completed	2012-02-25	NGC6032
NGC6060	16:05:51.99	+21:29:05.68	0.015064	12.5809	V500+V1200 Completed	2012-02-26	NGC6060
NGC6063	16:07:12.99	+07:58:44.36	0.00953352	13.1586	V500+V1200 Completed	2011-07-01	NGC6063
IC1199	16:10:34.34	+10:02:25.32	0.0158	13.3152	V500+V1200 Completed	2012-06-17	IC1199
UGC10257	16:11:07.52	+38:15:04.67	0.012732	13.6957	V500+V1200 Completed	2013-07-10	UGC10257
NGC6081	16:12:56.85	+09:52:01.57	0.017072	12.9197	V500+V1200 Completed	2012-04-22	NGC6081
UGC10297	16:15:28.85	+18:54:17.02	0.00767426	14.1981	V500+V1200 Completed	2012-07-21	UGC10297
UGC10331	16:17:21.12	+59:19:12.46	0.015189	13.9924	V500+V1200 Completed	2011-07-30	UGC10331
NGC6125	16:19:11.53	+57:59:02.89	0.015431	12.169	V500+V1200 Completed	2011-07-03	NGC6125
UGC10337	16:19:28.60	+07:16:43.48	0.0292597	13.8191	V500+V1200 Completed	2014-06-24	UGC10337
NGC6132	16:23:38.84	+11:47:10.45	0.0166149	13.7922	V500+V1200 Completed	2013-04-19	NGC6132
NGC6146	16:25:10.32	+40:53:34.31	0.0292	12.5515	V500+V1200 Completed	2012-04-23	NGC6146
NGC6154	16:25:30.48	+49:50:24.93	0.0199034	13.0836	V500+V1200 Completed	2012-06-19	NGC6154
UGC10380	16:25:49.90	+16:34:33.82	0.029218	14.1775	V500+V1200 Completed	2013-07-11	UGC10380
NGC6150	16:25:49.96	+40:29:19.41	0.0292335	13.1864	V500+V1200 Completed	2012-06-20	NGC6150
NGC6155	16:26:08.33	+48:22:00.46	0.00807084	12.6044	V500+V1200 Completed	2014-06-25	NGC6155
UGC10384	16:26:46.68	+11:34:48.96	0.0165093	14.0628	V500+V1200 Completed	2012-06-21	UGC10384
UGC10388	16:27:02.97	+16:22:56.02	0.0153995	13.5265	V500+V1200 Completed	2013-06-10	UGC10388
NGC6166NED01	16:28:39.14	+39:33:10.20	0.0267684	13.7165	V500+V1200 Completed	2012-07-20	NGC6166NED01
NGC6173	16:29:44.87	+40:48:41.96	0.0293776	12.3691	V500+V1200 Completed	2012-06-19	NGC6173
NGC6168	16:31:20.83	+20:11:08.29	0.00859665	14.1287	V500+V1200 Completed	2012-09-17	NGC6168
NGC6186	16:34:25.48	+21:32:27.26	0.00982686	12.6313	V500+V1200 Completed	2013-06-06	NGC6186
UGC10650	17:00:14.58	+23:06:22.83	0.00987337	14.9561	V500+V1200 Completed	2011-07-31	UGC10650
NGC6278	17:00:50.32	+23:00:39.74	0.00933	12.1968	V500+V1200 Completed	2012-09-15	NGC6278
UGC10693	17:04:53.01	+41:51:55.76	0.027999	12.7446	V500+V1200 Completed	2010-07-18	UGC10693
UGC10695	17:05:05.57	+43:02:35.35	0.028	13.3085	V500+V1200 Completed	2012-06-17	UGC10695
UGC10710	17:06:52.52	+43:07:19.96	0.027959	13.7631	V500+V1200 Completed	2010-07-17	UGC10710
NGC6310	17:07:57.47	+60:59:24.56	0.0113719	12.8833	V500+V1200 Completed	2011-07-02	NGC6310
NGC6301	17:08:32.74	+42:20:20.84	0.027939	13.4101	V500+V1200 Completed	2012-08-22	NGC6301
NGC6314	17:12:38.71	+23:16:12.30	0.0221018	12.9958	V500+V1200 Completed	2011-04-04	NGC6314
NGC6338	17:15:22.97	+57:24:40.28	0.0273617	12.6407	V500+V1200 Completed	2011-07-01	NGC6338
UGC10796	17:16:47.72	+61:55:12.42	0.0102258	14.2628	V500+V1200 Completed	2011-07-03	UGC10796
NGC6361	17:18:41.08	+60:36:29.37	0.0127606	12.6793	V500+V1200 Completed	2011-07-02	NGC6361
UGC10811	17:18:43.72	+58:08:06.42	0.02909	13.857	V500+V1200 Completed	2011-06-29	UGC10811
UGC10799	17:18:54.26	+29:51:21.48	0.028794	15.2637	V500+V1200 Completed	2013-06-06	UGC10799
IC1256	17:23:47.28	+26:29:11.47	0.015904	13.3903	V500+V1200 Completed	2011-06-28	IC1256
NGC6394	17:30:21.42	+59:38:23.62	0.0284222	13.8283	V500+V1200 Completed	2010-07-15	NGC6394
UGC10905	17:34:06.43	+25:20:38.29	0.026513	13.0683	V500+V1200 Completed	2011-08-31	UGC10905
NGC6411	17:35:32.84	+60:48:48.26	0.012275	12.1245	V500+V1200 Completed	2010-07-16	NGC6411
NGC6427	17:43:38.59	+25:29:38.18	0.010841	12.7881	V500+V1200 Completed	2011-06-30	NGC6427
UGC10972	17:46:21.91	+26:32:37.68	0.015517	13.5055	V500+V1200 Completed	2012-08-21	UGC10972
NGC6478	17:48:37.73	+51:09:13.68	0.022669	13.5	V500+V1200 Completed	2012-06-20	NGC6478
NGC6497	17:51:17.96	+59:28:15.15	0.010497	13.0294	V500+V1200 Completed	2010-07-15	NGC6497
NGC6515	17:57:25.19	+50:43:41.24	0.022846	12.899	V500+V1200 Completed	2010-07-10	NGC6515
UGC11228	18:24:46.26	+41:29:33.84	0.019353	13.2094	V500+V1200 Completed	2010-07-06	UGC11228
UGC11262	18:30:35.69	+42:41:33.70	0.018623	14.6331	V500+V1200 Completed	2010-07-09	UGC11262
NGC6762	19:05:37.09	+63:56:02.79	0.009767	13.2541	V500+V1200 Completed	2010-07-13	NGC6762
MCG-02-51-004	20:15:39.86	-13:37:19.22	0.01883	13.3358	V500+V1200 Completed	2013-06-11	MCG-02-51-004
NGC6941	20:36:23.47	-04:37:07.45	0.0207529	12.8972	V500+V1200 Completed	2011-07-31	NGC6941
NGC6945	20:39:00.59	-04:58:21.16	0.012595	12.398	V500+V1200 Completed	2012-07-22	NGC6945
NGC6978	20:52:35.43	-05:42:40.04	0.0199362	12.9797	V500+V1200 Completed	2012-07-21	NGC6978
UGC11649	20:55:27.62	-01:13:30.87	0.0126567	13.1461	V500+V1200 Completed	2010-07-16	UGC11649
UGC11680NED01	21:07:41.33	+03:52:17.80	0.02599	13.6738	V500+V1200 Completed	2010-07-13	UGC11680NED01
NGC7025	21:07:47.33	+16:20:09.22	0.016571	12.2409	V500+V1200 Completed	2010-07-06	NGC7025
UGC11694	21:11:52.02	+11:16:34.11	0.016998	13.0735	V500+V1200 Completed	2010-07-08	UGC11694
NGC7047	21:16:27.64	-00:49:35.37	0.0193322	13.204	V500+V1200 Completed	2012-07-19	NGC7047
UGC11717	21:18:35.41	+19:43:07.39	0.021168	13.6664	V500+V1200 Completed	2010-07-05	UGC11717
MCG-01-54-016	21:25:59.97	-03:48:32.26	0.009822	14.7853	V500+V1200 Completed	2011-07-30	MCG-01-54-016
UGC11740	21:26:14.35	+09:47:52.45	0.021512	14.0469	V500+V1200 Completed	2015-07-07	UGC11740
UGC11792	21:42:12.70	+05:36:55.33	0.016048	14.5214	V500+V1200 Completed	2011-06-30	UGC11792
NGC7194	22:03:30.93	+12:38:12.41	0.02718	12.971	V500+V1200 Completed	2010-07-18	NGC7194
NGC7236	22:14:44.98	+13:50:47.46	0.0261985	13.8371	V500+V1200 Completed	2011-08-29	NGC7236
UGC11958	22:14:46.88	+13:50:27.13	0.02618	13.3741	V500+V1200 Completed	2011-08-27	UGC11958
