NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
UGC01123	01:34:07.97	-01:01:56.23	0.0163352	13.3615	V500+V1200 Completed	2014-10-25	UGC01123
IC0159	01:46:25.05	-08:38:11.83	0.0130143	13.5216	V500+V1200 Completed	2014-10-20	IC0159
UGC01271	01:49:00.06	+13:12:39.98	0.0168099	13.178	V500+V1200 Completed	2013-11-05	UGC01271
UGCA021	01:49:10.35	-10:03:40.45	0.00662842	13.6416	V500+V1200 Completed	2014-10-21	UGCA021
NGC0681	01:49:10.83	-10:25:35.31	0.00587154	12.0844	V500+V1200 Completed	2013-10-03	NGC0681
UGC01274	01:49:11.62	+12:51:11.71	0.0262562	13.8113	V500+V1200 Completed	2013-12-06	UGC01274
NGC0677	01:49:14.06	+13:03:19.25	0.0169519	12.7524	V500+V1200 Completed	2014-10-20	NGC0677
NGC0693	01:50:31.25	+06:08:40.29	0.00523	12.654	V500+V1200 Completed	2014-10-21	NGC0693
UGC01368	01:54:13.13	+07:53:01.14	0.026772	13.8372	V500+V1200 Completed	2014-10-21	UGC01368
NGC0731	01:54:56.20	-09:00:38.92	0.013095	12.1559	V500+V1200 Completed	2014-10-29	NGC0731
NGC0741	01:56:20.98	+05:37:44.30	0.01856	11.8696	V500+V1200 Completed	2013-12-06	NGC0741
NGC0755	01:56:22.65	-09:03:40.98	0.00547	12.6683	V500+V1200 Completed	2014-01-06	NGC0755
IC1755	01:57:09.78	+14:32:59.59	0.0264146	13.7543	V500+V1200 Completed	2013-12-27	IC1755
NGC0768	01:58:40.93	+00:31:45.16	0.0233359	13.4899	V500+V1200 Completed	2014-01-03	NGC0768
NGC0774	01:59:34.72	+14:00:29.53	0.0153705	12.9459	V500+V1200 Completed	2013-11-08	NGC0774
NGC0776	01:59:54.52	+23:38:39.39	0.016401	12.8532	V500+V1200 Completed	2011-08-29	NGC0776
NGC0781	02:00:08.96	+12:39:21.98	0.011631	12.9606	V500+V1200 Completed	2014-01-06	NGC0781
NGC0787	02:00:48.61	-09:00:09.27	0.0158647	12.4561	V500+V1200 Completed	2014-10-30	NGC0787
NGC0810	02:05:28.56	+13:15:05.86	0.025654	13.1855	V500+V1200 Completed	2013-12-02	NGC0810
NGC0825	02:08:32.32	+06:19:25.19	0.011321	13.083	V500+V1200 Completed	2013-09-03	NGC0825
NGC0833	02:09:20.84	-10:07:59.13	0.0128195	12.6095	V500+V1200 Completed	2013-09-10	NGC0833
IC0210	02:09:28.28	-09:40:49.13	0.006448	12.6831	V1200 Completed	2015-01-11	IC0210
NGC0842	02:09:50.78	-07:45:44.91	0.012649	12.4909	V500+V1200 Completed	2014-11-19	NGC0842
UGC01659	02:09:56.90	+16:01:57.30	0.027379	13.8323	V500+V1200 Completed	2014-01-05	UGC01659
KUG0210-078	02:13:15.79	-07:39:42.78	0.0159442	13.5591	V500+V1200 Completed	2015-01-28	KUG0210-078
UGC01749	02:16:14.42	+18:18:39.74	0.026849	14.2641	V500+V1200 Completed	2014-02-01	UGC01749
NGC0873	02:16:32.37	-11:20:54.52	0.013386	12.3489	V500+V1200 Completed	2014-11-23	NGC0873
NGC0924	02:26:46.82	+20:29:50.97	0.014954	12.7493	V500+V1200 Completed	2014-10-21	NGC0924
UGC01918	02:27:32.47	+25:40:07.55	0.016962	13.704	V500+V1200 Completed	2014-02-02	UGC01918
NGC0932	02:27:54.69	+20:19:56.98	0.013646	12.4962	V500+V1200 Completed	2014-01-06	NGC0932
UGC01938	02:28:22.13	+23:12:52.65	0.021318	14.2755	V500+V1200 Completed	2011-10-25	UGC01938
NGC0941	02:28:27.88	-01:09:05.25	0.005347	12.9113	V500+V1200 Completed	2014-11-18	NGC0941
NGC0938	02:28:33.51	+20:17:01.30	0.013653	12.6515	V500+V1200 Completed	2014-10-29	NGC0938
NGC0955	02:30:33.14	-01:06:30.28	0.005074	12.1026	V500+V1200 Completed	2014-10-29	NGC0955
NGC0962	02:32:39.82	+28:04:12.03	0.015464	12.5379	V500+V1200 Completed	2014-10-23	NGC0962
UGC02018	02:32:40.17	+00:15:36.26	0.0205737	13.1833	V500+V1200 Completed	2014-10-21	UGC02018
NGC0976	02:34:00.02	+20:58:36.28	0.014441	12.3161	V500+V1200 Completed	2014-10-24	NGC0976
NGC0991	02:35:32.68	-07:09:15.94	0.00510439	12.9505	V500+V1200 Completed	2014-10-29	NGC0991
UGC02099	02:37:12.98	+21:34:03.30	0.027446	13.7565	V500+V1200 Completed	2014-10-29	UGC02099
UGC02134	02:38:51.80	+27:50:50.22	0.015297	13.2984	V500+V1200 Completed	2014-10-22	UGC02134
NGC1026	02:39:19.19	+06:32:38.55	0.01395	12.5951	V500+V1200 Completed	2014-10-22	NGC1026
NGC1041	02:40:25.23	-05:26:25.62	0.02354	12.9961	V500+V1200 Completed	2014-12-18	NGC1041
NGC1056	02:42:48.31	+28:34:26.96	0.005167	12.5529	V500+V1200 Completed	2012-01-20	NGC1056
NGC1060	02:43:15.07	+32:25:29.69	0.017255	11.8891	V500+V1200 Completed	2013-12-02	NGC1060
NGC1070	02:43:22.26	+04:58:06.03	0.013673	11.9012	V500+V1200 Completed	2014-10-23	NGC1070
UGC02222	02:45:09.67	+32:59:22.93	0.016618	13.4272	V500+V1200 Completed	2013-08-14	UGC02222
